ec5_uuid;created_at;1_TIme;2_NC;4_MN_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NY_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_LN_Behavior;29_Contact;30_AR;31_3M;Unnamed: 28;highlight
475cff56-64f1-4b49-96b2-3a24c1f0945f;2025-03-11T04:47:42.000Z;13:47;NO;E;;NR;;;M;;TK;;;E;;MN;;;RS;;NY;;;RS;;;;;
14cbaddd-108e-4a31-83d1-828c8e77578f;2025-03-11T04:49:31.000Z;13:49;NO;RS;;;TK;;RS;;;;;E;;;;;RS;;;MN;;RS;;;;;
8edd5abd-0ed3-4b1a-a706-ef53053617f9;2025-03-11T04:51:31.000Z;13:51;NO;RS;;;;;RS;;;;;E;;;;;RS;;;LN;;RS;;;TK;;
8b4e02d2-9394-427c-94c1-a070597f91ae;2025-03-11T04:53:55.000Z;13:53;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;LN;;RS;;;TK;;
c128783f-89e4-4981-b941-288371093346;2025-03-11T04:56:05.000Z;13:55;NO;RS;;TK, LN, NR;;;RS;;;;;RS;;TK, LN, MN;;;RS;;MN, NR;LN;;RS;;MN, NR;TK;;
2952cf85-18a2-4c27-91a0-c0e28aeafb2a;2025-03-11T04:57:42.000Z;13:57;NO;GG;LN;TK;;;RS;;;;;RS;;;;;RS;;MN;LN;;GR;MN;;TK;;red
30c00181-fbdf-4012-8d05-75b703f3e45e;2025-03-11T04:59:11.000Z;13:59;Yes;GG;LN;TK;;;RS;;;;;RS;;;;;RS;;MN;LN;;GR;MN;;TK;;green
50aa05d2-e05c-4730-a5f8-2863487dfe03;2025-03-11T05:01:11.000Z;14:01;Yes;GG;LN;TK;;;RS;;;;;RS;;;;;RS;;MN;LN;;GR;MN;;TK;;green
8e5dffcc-d384-4fe7-bc0e-3a53d69d7d48;2025-03-11T05:04:04.000Z;14:03;NO;GM;LN;TK;;;RS;;;NR;;RS;;;NY;;RS;;MN;LN;;GM;MN;;TK;;red
d115a8c7-77f1-4d5d-a718-52049f8d57cb;2025-03-11T05:05:08.000Z;14:05;Yes;GM;LN;TK;;;RS;;;NR;;RS;;;NY;;RS;;MN;LN;;GM;MN;;TK;;green
