ec5_uuid;created_at;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3;8_Notes;10_ST_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_LN_Behavior;23_Contact;24_AR;25_3;26_Notes;28_NR_Behavior;29_Contact;30_AR;31_3M;32_Notes;34_MN_Behavior;35_Contact;36_AR;37_3M;38_Notes;40_NY_Behavior;41_Contact;42_AR;43_3M;44_Notes
7814adef-1d0d-45b6-b431-04d4ddee7b74;2025-03-12T05:41:47.000Z;14:41;;PL;;ST;NH;;PL;MS;;NH;;;;;MS, ST;;;;;;;;;;;;;;;;;;;;;
7814adef-1d0d-45b6-b431-04d4ddee7b74;2025-03-12T05:41:47.000Z;14:41;;PL;;ST;NH;;PL;MS;;NH;;;;;MS, ST;;;;;;;;;;;;;;;;;;;;;
18d2059f-0ab6-4768-9201-af2906e3e05a;2025-03-12T05:43:49.000Z;14:43;;PL;ST;;;;PL;MS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18d2059f-0ab6-4768-9201-af2906e3e05a;2025-03-12T05:43:49.000Z;14:43;;PL;ST;;;;PL;MS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
db2628fe-4b78-44c8-a4e7-5dfcb547086e;2025-03-12T05:45:23.000Z;14:45;Yes;PL;ST;;;;PL;MS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
db2628fe-4b78-44c8-a4e7-5dfcb547086e;2025-03-12T05:45:23.000Z;14:45;Yes;PL;ST;;;;PL;MS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
f6a68a06-652d-473b-bd08-4c8d4ae64ae0;2025-04-08T04:41:53.000Z;13:40;;;;;;;DS;;;;St scream and display;;;;;;;;;;;;;;;;;;;;;;;;;
eb5879d6-a1cb-4427-b504-bf898f0b36fb;2025-04-09T00:42:40.000Z;09:42;;;;;;;;;;;;;;;;Displayed few seconds before;;;;;;;;;;;;;;;;;;;;
eb5879d6-a1cb-4427-b504-bf898f0b36fb;2025-04-09T00:42:40.000Z;09:41;;;;;;;;;;;;DS;;;;Displayed few seconds before;;;;;;;;;;;;;;;;;;;;
0ce95d64-9caa-4392-bd9a-ea5f9f9e9e1b;2025-04-09T01:16:40.000Z;10:15;;;;;;;DS;;;;Displayed 20 seconds ago;;;;;;;;;;;;;;;;;;;;;;;;;
0ce95d64-9caa-4392-bd9a-ea5f9f9e9e1b;2025-04-09T01:16:40.000Z;10:15;;;;;;;DS;;;;Displayed 20 seconds ago;;;;;;;;;;;;;;;;;;;;;;;;;
483f107a-e0b2-437f-8a16-7e5521a46444;2025-04-09T01:18:45.000Z;10:18;;;;;;;DS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
483f107a-e0b2-437f-8a16-7e5521a46444;2025-04-09T01:18:45.000Z;10:18;;;;;;;DS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
324aa967-b85a-47d9-9ed9-eb3d4cb48b2d;2025-04-09T02:30:27.000Z;11:30;;;;;;;DS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e6721147-29ff-47ac-b3de-86134a581577;2025-04-09T02:36:36.000Z;11:35;;;;;;;DS;;;;Displayed 10 seconds ago;;;;;;;;;;;;;;;;;;;;;;;;;
c37905c2-6c4d-47a0-9da3-795807124ee6;2025-04-09T02:40:24.000Z;11:40;;;;;;;DS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
190a107d-1c26-44a5-9847-164e62fa1498;2025-04-21T00:35:39.000Z;09:35;;;;;;;PL;;NH;;;PL;;ST;;;;;;;;;;;;;;;;;;;;;;
dbf5b039-2c5d-48ff-b460-0e3a927b52d7;2025-04-21T02:27:31.000Z;11:27;;PL;;ST;;;PL;;MS;;;;;;;;;;;;;;;;;;;;;;;;;;;
dbf5b039-2c5d-48ff-b460-0e3a927b52d7;2025-04-21T02:27:31.000Z;11:27;;PL;;ST;;;PL;;MS;;;;;;;;;;;;;;;;;;;;;;;;;;;
4da64fa8-ade7-4dca-b0f6-819321c82cc6;2025-04-21T02:29:04.000Z;11:28;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47650b7a-1bd6-4121-a718-28cc46d567a0;2025-04-22T00:44:11.000Z;09:43;;;;;;;;;;;;DS;;;;Pan hoot towards cage c;;;;;;;;;;;;;;;;;;;;
9bbaa949-29a8-4976-9454-51d568aa569b;2025-04-22T02:18:45.000Z;11:18;;;;;;;DS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
680a543f-5e61-4d08-bf2e-f4a7134bda73;2025-04-22T02:20:41.000Z;11:20;;;;;;;DS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d6a23649-62b4-4809-bfcc-5f5516cd5ddc;2025-04-22T02:22:40.000Z;11:21;;;;;;;;;;;;DS;;;;Displayed;;;;;;;;;;;;;;;;;;;;
48f3b3f1-15d0-4b50-b6e9-e18dd9de4fe8;2025-04-22T02:24:45.000Z;11:24;;;;;;;PL;;NH;;;PL;;ST;;;;;;;;;;;;;;;;;;;;;;
427e1132-5a8d-4e21-8340-ef0e2138ed8d;2025-04-22T02:26:23.000Z;11:26;Yes;;;;;;PL;;NH;;;PL;;ST;;;;;;;;;;;;;;;;;;;;;;
2f92f495-8d14-450e-8e16-d7a8cdda0fc0;2025-04-22T02:28:39.000Z;11:28;Yes;;;;;;PL;;NH;;;PL;;ST;;;;;;;;;;;;;;;;;;;;;;
823e0128-be98-43ef-a7de-48e44bd08c3c;2025-04-22T02:30:29.000Z;11:30;Yes;;;;;;PL;;NH;;;PL;;ST;;;;;;;;;;;;;;;;;;;;;;
589acbf7-d2bd-475d-819f-8be323479fef;2025-03-14T00:45:23.000Z;09:44;;;;;;;;;;;;;;;;;;;;;;PL;;MN;;;;;;;;;;;;
7ee79de3-115d-40ac-9cd0-bd881b5cca62;2025-03-14T00:46:36.000Z;09:46;Yes;;;;;;;;;;;;;;;;;;;;;PL;;MN;;;;;;;;;;;;
a34e9985-10cd-4907-a518-00e9e716ca09;2025-03-14T00:49:18.000Z;09:48;;;;;;;;;;;;;;;;;;;;;;PL;;MN;;;PL;;NR;;;;;;;
895c7f1b-5c49-4cfb-b3d5-a444c759daa8;2025-03-14T01:09:24.000Z;10:08;;;;;;;;;;;;;;;;;;;;;;;;;;;PL;;;;Playing with a bottle;;;;;
37389303-c253-4154-8ec0-1c684fed8e49;2025-03-14T01:17:09.000Z;10:16;;;;;;;;;;;;DS;;;;Towards cage c;;;;;;;;;;;DS;;;;Towards cage c;;;;;
4cf78534-4969-468f-8e3f-46817c70d734;2025-03-14T01:28:59.000Z;10:28;;;;;;;;;;;;;;;;;;;;;;PL;;;;Playing with a bottle;;;;;;;;;;
c934b92c-f194-4b67-8425-0174a72af684;2025-03-14T01:31:03.000Z;10:30;;;;;;;;;;;;;;;;;;;;;;PL;;;MN;;PL;;;NR;;;;;;
0a61340a-660d-4d6a-97e5-f469015cc92c;2025-03-14T04:48:58.000Z;13:48;;;;;;;;;;;;PL;;NR;;;;;;;;PL;;NH;;;;;;;;;;;;
56d5bda0-86ba-4562-9964-c203e238bbd0;2025-03-14T04:50:18.000Z;13:49;Yes;;;;;;;;;;;PL;;NR;;;;;;;;PL;;NH;;;;;;;;;;;;
6ef88271-c776-4cc2-83c0-d5f118d717df;2025-03-14T04:52:01.000Z;13:51;Yes;;;;;;;;;;;PL;;NR;;;;;;;;PL;;NH;;;;;;;;;;;;
67efdec0-419d-42dd-a9c3-013cdf30371c;2025-03-14T04:54:01.000Z;13:53;Yes;;;;;;;;;;;PL;;NR;;;;;;;;PL;;NH;;;;;;;;;;;;
19aeb07d-44b1-494a-82a5-e69e125c1002;2025-03-23T00:52:39.000Z;09:51;;;;;;;;;;;;;;;;;;;;;;PL;;MN;;;PL;;NR;;;;;;;
fcd3521a-0d39-4c28-b305-49996f48a378;2025-03-23T04:33:57.000Z;13:33;;;;;;;;;;;;PL;;NR;;;;;;;;PL;;NH;;;;;;;;;;;;
976dcfe0-0817-43da-aa5d-00a9c9ea7d52;2025-03-23T04:35:35.000Z;13:35;Yes;;;;;;;;;;;PL;;NR;;;;;;;;PL;;NH;;;;;;;;;;;;
251f372c-f46d-48b2-af1a-1e875d3e8577;2025-03-24T00:49:10.000Z;09:48;;;;;;;;;;;;;;;;;;;;;;PL;;MN;;;PL;;NR;;;;;;;
222b219a-f5ff-43d5-88c6-cc15d0be156e;2025-03-24T01:25:14.000Z;10:24;;;;;;;;;;;;;;;;;;;;;;PL;;MN;;;PL;;NR;;;;;;;
3939f477-0d62-4b91-b651-436b5452a7d7;2025-03-24T01:26:47.000Z;10:26;Yes;;;;;;;;;;;;;;;;;;;;;PL;;MN;;;PL;;NR;;;;;;;
cb0e0c90-c1b7-4a39-824d-ce4ca3932c78;2025-03-24T01:28:48.000Z;10:28;Yes;;;;;;;;;;;;;;;;;;;;;PL;;MN;;;PL;;NR;;;;;;;
3287e783-21b1-47e3-8222-70a568353ee6;2025-03-24T05:02:48.000Z;14:02;;;;;;;;;;;;PL;;NR;;;;;;;;PL;;NH;;;;;;;;;;;;
b445b66c-d5be-4213-a185-f9b1adacffb9;2025-03-24T05:08:43.000Z;14:08;;;;;;;;;;;;PL;;NR;;;;;;;;PL;;NH;;;;;;;;;;;;
08e9142c-8e54-4ce6-a49b-8046567ab424;2025-03-24T05:13:10.000Z;14:12;;;;;;;;;;;;PL;;NR;;;;;;;;PL;;NH;;;;;;;;;;;;
