ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_MS_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;highlight;msm;corrected_msm
dd39898e-b398-4178-8287-214b67a0fcab;2025-04-27;1900-01-01 10:22:00;Yes;RL;;;;;;RS;;;;;;RL;;;;;;RS;;;;;;green;622;622.0
128bf3d6-284b-4673-a087-4a0c794a75b8;2025-04-27;1900-01-01 10:23:00;Yes;RL;;;;;;RS;;;;;;RL;;;;;;RS;;;;;;green;623;624.0
62b20e9d-1b43-4921-820d-29f29a745162;2025-04-27;1900-01-01 10:25:00;Yes;RL;;;;;;RS;;;;;;RL;;;;;;RS;;;;;;green;625;626.0
ed369300-965c-4640-a4d2-4ab5d24efde2;2025-04-27;1900-01-01 10:28:00;NO;RL;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;red;628;628.0
c2c070fb-ce34-4549-935e-c05e5da5c3e8;2025-04-27;1900-01-01 10:29:00;Yes;RL;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;green;629;630.0
dfaf2fc6-08c7-49ee-afb5-c8d527d6d0c3;2025-04-27;1900-01-01 10:31:00;Yes;RL;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;green;631;
4e4e9b93-4e86-4643-85d6-2a5f47a93501;2025-04-27;1900-01-01 10:45:00;NO;E;;;;;;RS;;;;;;RL;;;;;;RS;;;;;;red;645;645.0
9b6080cd-7e42-445f-b3e1-ddeade1d3d9d;2025-04-27;1900-01-01 10:47:00;Yes;E;;;;;;RS;;;;;;RL;;;;;;RS;;;;;;green;647;647.0
9e36e42d-6853-454a-a1e3-18b2668157ba;2025-04-27;1900-01-01 10:50:00;NO;RS;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;red;650;649.0
fd247b63-f09f-4797-abf2-1d8d16a5b584;2025-04-27;1900-01-01 10:51:00;Yes;RS;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;green;651;651.0
81c8eb18-d379-43e5-8aea-963d30ad9a7e;2025-04-27;1900-01-01 10:54:00;NO;E;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;;654;653.0
66cb410f-b4d5-4895-9ad8-e79ab173ebd0;2025-04-27;1900-01-01 10:56:00;NO;E;;;;;;M;;;;;;M;;;;;;M;;;;;;;656;655.0
0b935c83-d859-439d-9525-d259ea8cd8e8;2025-04-27;1900-01-01 10:58:00;NO;M;;;;;;PL;GG;;;;;PL;SB;;;;;RS;;;;;;;658;657.0
74f5924f-fc71-4b23-991e-6bf58f3564ed;2025-04-27;1900-01-01 11:00:00;NO;RS;;;;;;PL;;MS, GG;;;;PL;;SB, MS;;;;PL;;SB, GG;;;;;660;659.0
59d00978-f726-4996-9b32-2a978558780d;2025-04-27;1900-01-01 11:01:00;NO;E;;;;;;RS;;;MS, GG;;;GR;MS;;SB;;;GG;GG;;SB;;;red;661;661.0
4690a8ab-d949-4d72-bc7e-416e778a3609;2025-04-27;1900-01-01 11:03:00;Yes;E;;;;;;RS;;;MS, GG;;;GR;MS;;SB;;;GG;GG;;SB;;;green;663;663.0
89c15efe-fe02-420e-8b76-461b1205be30;2025-04-27;1900-01-01 11:05:00;Yes;E;;;;;;RS;;;MS, GG;;;GR;MS;;SB;;;GG;GG;;SB;;;green;665;665.0
89014dab-f7cb-45c9-997b-74f6366a5f44;2025-04-27;1900-01-01 11:08:00;NO;RS;;;;;;PL;;GG, MS;;;;PL;;MS, SB;;;;PL;;SB, GG;;;;;668;667.0
d987ecb7-1760-4ac7-b12c-cdd772a29661;2025-04-27;1900-01-01 11:10:00;NO;RS;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;red;670;669.0
c1dbd64f-d948-4e5b-ab02-8fa69c16c445;2025-04-27;1900-01-01 11:11:00;Yes;RS;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;green;671;671.0
03f164da-76bc-4f6a-b614-4e9929a00025;2025-04-27;1900-01-01 11:14:00;NO;RL;;;;;;M;;;;;;RS;;;;;;RS;;;;;;;674;673.0
80c5ba3c-3005-492f-bb6b-e7d1b177c8e2;2025-04-27;1900-01-01 11:16:00;NO;RL;;;;;;RL;;;;;;RL;;;;;;RS;;;;;;red;676;675.0
0be1d476-10da-4bde-9498-b74071866d94;2025-04-27;1900-01-01 11:18:00;Yes;RL;;;;;;RL;;;;;;RL;;;;;;RS;;;;;;green;678;677.0
d549264e-6a2a-4ce7-ac20-bba672912834;2025-04-27;1900-01-01 11:20:00;NO;RS;;;;;;RL;;;;;;RL;;;;;;RS;;;;;;red;680;679.0
f03a4e5a-c41f-4874-99f6-b3d0938d882b;2025-04-27;1900-01-01 11:22:00;Yes;RS;;;;;;RL;;;;;;RL;;;;;;RS;;;;;;green;682;681.0
544e37c2-9f54-400f-b874-84bfe00c8dc9;2025-04-27;1900-01-01 11:24:00;Yes;RS;;;;;;RL;;;;;;RL;;;;;;RS;;;;;;green;684;683.0
cb48ff61-d435-4e47-a95f-792abf798aaf;2025-04-27;1900-01-01 11:25:00;Yes;RS;;;;;;RL;;;;;;RL;;;;;;RS;;;;;;green;685;685.0
fca5a49a-3058-4950-aacd-dbd051111583;2025-04-27;1900-01-01 11:28:00;NO;RS;;;;;;RL;;;;;;M;;;;;;RS;;;;;;;688;687.0
1faec457-36e0-4e66-ac3e-b58f27da0d53;2025-04-27;1900-01-01 11:29:00;NO;RS;;;GG;;;RL;;;;;;RS;;;MZ;;;RS;;;;;;red;689;689.0
90b34ca7-a520-46c8-be19-364170903dae;2025-04-27;1900-01-01 11:31:00;Yes;RS;;;GG;;;RL;;;;;;RS;;;MZ;;;RS;;;;;;green;691;691.0
