ec5_uuid;date;1_TIme;2_NC;4_ST_Behavior;5_Contact;6_AR;7_3M;8_Notes;16_SR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_TN_Behavior;29_Contact;30_AR;31_3M;32_Notes;highlight;msm;corrected_msm
1ebdc494-763a-4a0f-ad35-3cc61174757c;2025-04-04;1900-01-01 13:58:00;Yes;E;;;TN;;RS;;;;;RS;;;;;E;;;ST;;green;838;839.0
757999c5-64e8-40aa-8bc9-81ad192558ce;2025-04-04;1900-01-01 14:00:00;NO;M;;;;;RS;;;;;RL;;;;;E;;;;;;840;841.0
302ecc57-b881-43ab-b96b-36eedf5d3a92;2025-04-04;1900-01-01 14:02:00;NO;RS;;;;;RS;;;;;RS;;;;;E;;;;;red;842;843.0
45797983-62bd-46b4-9e60-c4a903542f44;2025-04-04;1900-01-01 14:04:00;Yes;RS;;;;;RS;;;;;RS;;;;;E;;;;;green;844;845.0
bd5f9924-cbbf-456d-9008-d2ba6c04cc66;2025-04-04;1900-01-01 14:06:00;Yes;RS;;;;;RS;;;;;RS;;;;;E;;;;;green;846;847.0
4d9a59db-d7b8-42ac-86a7-565a8d54f534;2025-04-04;1900-01-01 14:08:00;Yes;RS;;;;;RS;;;;;RS;;;;;E;;;;;green;848;849.0
5f19fb90-b4e9-4d2f-87df-d00677063492;2025-04-04;1900-01-01 14:10:00;NO;M;;;TK;;RS;;;;;RS;;;ST;;E;;;;;;850;851.0
f3e525a5-3a8e-4adc-9178-b38152f2f7b8;2025-04-04;1900-01-01 14:12:00;NO;RS;;;;;RS;;;;;RS;;;;;E;;;;;red;852;853.0
08207640-2a1b-4847-886d-d8660a237e72;2025-04-04;1900-01-01 14:14:00;Yes;RS;;;;;RS;;;;;RS;;;;;E;;;;;green;854;855.0
ba2280b9-9d4b-41b9-8f0f-fe74fed4b5ea;2025-04-04;1900-01-01 14:16:00;NO;M;;;;;RS;;;;;RS;;;;;E;;;;;red;856;857.0
7409bbb6-5096-40d7-a6dc-570c6e519ecf;2025-04-04;1900-01-01 14:18:00;Yes;M;;;;;RS;;;;;RS;;;;;E;;;;;green;858;859.0
0f126714-437b-4d92-8a34-5e033a707b62;2025-04-04;1900-01-01 14:21:00;Yes;M;;;;;RS;;;;;RS;;;;;E;;;;;green;861;861.0
ebc83b50-0a4f-4433-970d-4e3a933add51;2025-04-04;1900-01-01 14:22:00;NO;E;;;TN;;RS;;;;;RS;;;;;E;;;ST;;;862;863.0
07e8056d-e8b7-4d26-a314-86b9431213aa;2025-04-04;1900-01-01 14:24:00;NO;E;;;TN;;RS;;;;;RL;;;;;E;;;ST;;red;864;865.0
4b405214-3632-45b2-a8c4-bd6a3c1fcd66;2025-04-04;1900-01-01 14:27:00;Yes;E;;;TN;;RS;;;;;RL;;;;;E;;;ST;;green;867;867.0
32ce1991-e355-40ae-8a43-f3418e28ec71;2025-04-04;1900-01-01 14:28:00;NO;E;;;SR, TN;;RS;;;ST;;RS;;;;;E;;;ST;;;868;869.0
49a07fd9-ab22-4241-ba23-760f8421d6b4;2025-04-04;1900-01-01 14:30:00;NO;E;;;TN;;RS;;;TK;;RL;;;SR;;E;;;ST;;;870;871.0
0a32d370-3ff3-44d6-a3f7-4cf34d25775f;2025-04-04;1900-01-01 14:32:00;NO;E;;;TN;;RL;;;TK;;RL;;;SR;;E;;;ST;;red;872;873.0
49076a77-1f94-414f-9baf-603bb8302c79;2025-04-04;1900-01-01 14:35:00;Yes;E;;;TN;;RL;;;TK;;RL;;;SR;;E;;;ST;;green;875;875.0
6a7d3356-9d5e-4aa7-b653-498d9811dbce;2025-04-04;1900-01-01 14:36:00;Yes;E;;;TN;;RL;;;TK;;RL;;;SR;;E;;;ST;;green;876;877.0
e0cf6f47-c3f6-4074-922c-bd3563fd1ff7;2025-04-04;1900-01-01 14:38:00;NO;E;;;;;RL;;;TK;;RL;;;SR;;E;;;;;;878;879.0
d6cc00ee-58df-408c-af52-b1eeb7702f2e;2025-04-04;1900-01-01 14:40:00;NO;RS;;;;;M;;TK;;;M;;SR;;;M;;;;;;880;881.0
4b0fc0f9-ff07-4532-b8b7-f79cdbf272d0;2025-04-04;1900-01-01 14:42:00;NO;RS;;;TN;;RS;;;;;M;;;;;RS;;;ST;;;882;883.0
1b9c8794-7559-4647-b979-7c55d29456ce;2025-04-04;1900-01-01 14:44:00;NO;RS;;;SR, TN;;M;;;ST, TN;;RS;;;;;M;;;ST, SR;;;884;885.0
