date,Ind1,phase,condition,group,trial,first_day,block_ID,partner,playing,aggression,agg_morn1,play_morn1,agg_morn2,play_morn2,agg_enrich,play_enrich,agg_extra,play_extra,play_amount,agg_amount
2025-04-27 00:00:00,MN,morn1,Playback,2,5,False,morn1_2_trial5_sec_play,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2025-04-27 00:00:00,NH,enrich,Playback,2,5,False,enrich_2_trial5_sec_play,"MN, NR",1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
2025-04-27 00:00:00,NH,morn1,Playback,2,5,False,morn1_2_trial5_sec_play,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
2025-04-27 00:00:00,NR,enrich,Playback,2,5,False,enrich_2_trial5_sec_play,"NH, MN",1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
2025-04-27 00:00:00,NR,morn1,Playback,2,5,False,morn1_2_trial5_sec_play,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2025-04-30 00:00:00,MN,enrich,Crow,3,5,True,enrich_3_trial5_first_cont,None,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1
2025-04-30 00:00:00,MN,morn1,Crow,3,5,True,morn1_3_trial5_first_cont,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
2025-04-30 00:00:00,MS,enrich,Crow,3,5,True,enrich_3_trial5_first_cont,None,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1
2025-04-30 00:00:00,MS,morn1,Crow,3,5,True,morn1_3_trial5_first_cont,NY,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0
2025-04-30 00:00:00,MZ,morn1,Crow,3,5,True,morn1_3_trial5_first_cont,NR,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2025-04-30 00:00:00,NY,enrich,Crow,3,5,True,enrich_3_trial5_first_cont,MS,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1
2025-04-30 00:00:00,NY,morn1,Crow,3,5,True,morn1_3_trial5_first_cont,MS,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0
2025-04-30 00:00:00,SB,morn1,Crow,3,5,True,morn1_3_trial5_first_cont,NR,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2025-04-30 00:00:00,SB,morn2,Crow,3,5,True,morn2_3_trial5_first_cont,NR,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0
2025-05-01 00:00:00,MN,morn1,Crow,3,5,False,morn1_3_trial5_sec_cont,None,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
2025-05-01 00:00:00,MS,enrich,Crow,3,5,False,enrich_3_trial5_sec_cont,NY,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
