date,msm,A,B,C,total,n_ok,n_missing,n_duplicate,row_status,A_missing_day,B_missing_day,C_missing_day
2025-03-11,657,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,659,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,661,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,663,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,665,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,667,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,669,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,671,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,673,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,675,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,677,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,679,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,681,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,683,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,685,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,687,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,689,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,691,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,693,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,695,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,697,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,699,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,701,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,703,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,705,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,795,0.0,0.0,0.0,0.0,0,3,0,MISSING,10,11,6
2025-03-11,797,0.0,0.0,0.0,0.0,0,3,0,MISSING,10,11,6
2025-03-11,799,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,801,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,803,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,805,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,807,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,809,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,811,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,813,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,815,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,817,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,819,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,821,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,823,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,825,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,827,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,829,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,831,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,833,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,835,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,837,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,839,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,841,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,843,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,845,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,847,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,849,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,851,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,853,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,855,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,857,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
2025-03-11,859,1.0,1.0,1.0,3.0,3,0,0,OK,10,11,6
