ec5_uuid,date,1_TIme,msm,corrected_msm,Ind_1(MZ),MZ_Behavior,MZ_Contact,MZ_AR,MZ_3M,Ind_2(SB),SB_Behavior,SB_Contact,SB_AR,SB_3M,Ind_3(GG),GG_Behavior,GG_Contact,GG_AR,GG_3M,Ind_4(MS),MS_Behavior,MS_Contact,MS_AR,MS_3M,condition,trial,first_day,phase,group,block_ID
5937de04-5812-4dda-abc4-4edd41f3d87e,04-05-2025,1900-01-01 10:00:00,600,600.0,MZ,RL,,,,SB,E,,"MS, GG",,GG,RS,,"MS, SB",,MS,RS,,"SB, GG",,Crow,6,True,morn1,C_2,morn1_C_2_trial6_first_cont
7def74cd-89cd-4b27-a600-11f9b6c8ebdc,04-05-2025,1900-01-01 10:02:00,602,602.0,MZ,RL,,,,SB,E,,"MS, GG",,GG,RL,,"MS, SB",,MS,RL,,"GG, SB",,Crow,6,True,morn1,C_2,morn1_C_2_trial6_first_cont
3567d647-b035-4e81-b39a-a0366c99202a,04-05-2025,1900-01-01 10:03:00,603,604.0,MZ,RL,,,,SB,M,,,"MS, GG",GG,RL,,MS,SB,MS,RL,,GG,SB,Crow,6,True,morn1,C_2,morn1_C_2_trial6_first_cont
7202f59e-4cb9-48df-b0d0-1288dd080062,04-05-2025,1900-01-01 10:06:00,606,606.0,MZ,RL,,,,SB,RL,,,,GG,RL,,MS,,MS,RL,,GG,,Crow,6,True,morn1,C_2,morn1_C_2_trial6_first_cont
e9d4534f-c4a5-442d-974d-d575cfbdd38e,04-05-2025,1900-01-01 10:07:00,607,608.0,MZ,RL,,,,SB,RL,,,,GG,SD,,MS,,MS,RS,,GG,,Crow,6,True,morn1,C_2,morn1_C_2_trial6_first_cont
7bb1e41a-cf65-4f3e-83da-ce7332ccf4a4,04-05-2025,1900-01-01 10:10:00,610,610.0,MZ,RS,,,,SB,RL,,,,GG,M,,,,MS,M,,,,Crow,6,True,morn1,C_2,morn1_C_2_trial6_first_cont
01a842f9-610f-4244-a52e-65c315c0aa32,04-05-2025,1900-01-01 10:11:00,611,612.0,MZ,M,,,,SB,DS,,,,GG,M,,,,MS,DS,,,,Crow,6,True,morn1,C_2,morn1_C_2_trial6_first_cont
aa98046b-75c2-48b3-9d6b-073878224025,04-05-2025,1900-01-01 10:14:00,614,614.0,MZ,DS,,,,SB,DS,,,,GG,M,,,,MS,DS,,,,Crow,6,True,morn1,C_2,morn1_C_2_trial6_first_cont
82c428ac-3aec-4dd8-9e7a-1dd6c99a5220,04-05-2025,1900-01-01 10:16:00,616,616.0,MZ,DS,,,,SB,M,,,,GG,RS,,,,MS,M,,,,Crow,6,True,morn1,C_2,morn1_C_2_trial6_first_cont
63b5c45c-ef13-4e13-a5a3-b63efe838599,04-05-2025,1900-01-01 10:17:00,617,618.0,MZ,DS,,,,SB,RL,,,MS,GG,RS,,,,MS,RS,,,SB,Crow,6,True,morn1,C_2,morn1_C_2_trial6_first_cont
ccda324a-ac12-4503-a3aa-deadc1e6b0c0,04-05-2025,1900-01-01 10:20:00,620,620.0,MZ,M,,,,SB,RL,,,,GG,M,,,MS,MS,RS,,,GG,Crow,6,True,morn1,C_2,morn1_C_2_trial6_first_cont
2957ef5e-f713-4df4-8dea-75e667ed17d1,04-05-2025,1900-01-01 10:21:00,621,622.0,MZ,M,,,,SB,RL,,,,GG,RS,,,,MS,M,,,,Crow,6,True,morn1,C_2,morn1_C_2_trial6_first_cont
b2edc53e-5be6-499f-bb72-3a37521c6938,04-05-2025,1900-01-01 10:23:00,623,624.0,MZ,RS,,,,SB,RL,,,,GG,RS,,,,MS,E,,,,Crow,6,True,morn1,C_2,morn1_C_2_trial6_first_cont
8f72c075-15c6-4027-a7e9-469cdbe689ab,04-05-2025,1900-01-01 10:25:00,625,626.0,MZ,RS,,,MS,SB,RL,,,,GG,M,,,,MS,RS,,,MZ,Crow,6,True,morn1,C_2,morn1_C_2_trial6_first_cont
df8372e6-459f-45c1-bcb6-9e31c31c2ff6,04-05-2025,1900-01-01 10:28:00,628,628.0,MZ,M,,,,SB,RL,,,,GG,RS,,,,MS,RS,,,,Crow,6,True,morn1,C_2,morn1_C_2_trial6_first_cont
4049cea0-2c8d-46f2-a819-3c66215f9a24,04-05-2025,1900-01-01 10:30:00,630,630.0,MZ,RS,,,,SB,RL,,,,GG,RS,,,,MS,RS,,,,Crow,6,True,morn1,C_2,morn1_C_2_trial6_first_cont
ae6d1c70-758d-44b9-8756-6ed98c6556d8,04-05-2025,1900-01-01 10:46:00,646,645.0,MZ,RS,,,,SB,RS,,,,GG,RL,,,,MS,RS,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
9e4ce1ae-3ae7-42ce-8ce8-5e7527106aeb,04-05-2025,1900-01-01 10:48:00,648,647.0,MZ,RS,,,,SB,RS,,,,GG,RL,,,,MS,RS,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
d8dffa64-8c87-4633-a044-0a0d4ce18361,04-05-2025,1900-01-01 10:50:00,650,649.0,MZ,RS,,,,SB,RS,,,,GG,RL,,,,MS,RS,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
494bffe8-7de9-4473-86a0-e07d1a313d3d,04-05-2025,1900-01-01 10:51:00,651,651.0,MZ,RS,,,,SB,RS,,,,GG,RL,,,,MS,RS,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
0babf826-f87d-4f6c-8118-839636c5ae6b,04-05-2025,1900-01-01 10:53:00,653,653.0,MZ,RS,,,,SB,RS,,,,GG,RL,,,,MS,RS,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
f9838e87-98b1-403e-bd81-855d8a09e0b8,04-05-2025,1900-01-01 10:55:00,655,655.0,MZ,RS,,,,SB,RS,,,,GG,RS,,,,MS,RL,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
e06cd33c-f297-459a-a9e6-0dabd1152f1f,04-05-2025,1900-01-01 10:58:00,658,657.0,MZ,RS,,,,SB,RS,,,,GG,RS,,,,MS,RL,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
9764c49a-cd1d-415c-b51d-2834cb7a318e,04-05-2025,1900-01-01 11:00:00,660,659.0,MZ,RL,,,,SB,RS,,,,GG,RS,,,,MS,RL,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
fa9d3c29-980e-477e-9668-f840c5c0e48a,04-05-2025,1900-01-01 11:01:00,661,661.0,MZ,RL,,,,SB,RS,,,,GG,RS,,,,MS,RL,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
e8f4f3cf-ae3f-4ec2-8adc-97a34aabb5a1,04-05-2025,1900-01-01 11:03:00,663,663.0,MZ,RL,,,,SB,GG,MS,,,GG,RS,,,,MS,GR,SB,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
0f4865bc-976f-4864-8790-0fd3b11ae715,04-05-2025,1900-01-01 11:06:00,666,665.0,MZ,RL,,,,SB,GG,MS,,,GG,RS,,,,MS,GR,SB,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
0956a4bc-9336-43eb-8016-7444c1d5f54a,04-05-2025,1900-01-01 11:07:00,667,667.0,MZ,RL,,,,SB,M,,,,GG,M,,,,MS,RS,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
3446153b-21f5-48e6-acb0-1dadbe269d96,04-05-2025,1900-01-01 11:09:00,669,669.0,MZ,RS,,,SB,SB,M,,,MZ,GG,RL,,,,MS,E,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
6d92f1a7-f58c-4864-b3e4-71074014d23e,04-05-2025,1900-01-01 11:12:00,672,671.0,MZ,RL,,,,SB,E,,,,GG,RL,,,,MS,E,,,,Crow,6,True,morn2,C_2,morn2_C_2_trial6_first_cont
