ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_MS_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;highlight;msm;corrected_msm
b8a56cd7-61b4-4be6-b681-3f553e13b0aa;2025-03-23;1900-01-01 11:13:00;Yes;RL;;;;;;RS;;;;;;RL;;MS;;;;RS;;GG;;;;green;673;673.0
a02352d5-65a0-4896-82af-f36391cdc238;2025-03-23;1900-01-01 11:15:00;Yes;RL;;;;;;RS;;;;;;RL;;MS;;;;RS;;GG;;;;green;675;675.0
6d9cb89a-f028-4c0d-977f-c6a399569902;2025-03-23;1900-01-01 11:17:00;Yes;RL;;;;;;RS;;;;;;RL;;MS;;;;RS;;GG;;;;green;677;677.0
cf9c5236-c34c-4c4f-8958-a9aa82c861ab;2025-03-23;1900-01-01 11:19:00;Yes;RL;;;;;;RS;;;;;;RL;;MS;;;;RS;;GG;;;;green;679;679.0
fc0996dc-3285-4a9b-8d40-b17a46933b25;2025-03-23;1900-01-01 11:21:00;NO;RS;;;;;;RS;;;;;;RL;;MS;;;;RS;;GG;;;;red;681;681.0
fd32ca9a-0fd5-4c8e-98b2-6d6f8baae456;2025-03-23;1900-01-01 11:23:00;Yes;RS;;;;;;RS;;;;;;RL;;MS;;;;RS;;GG;;;;green;683;683.0
52c0a181-6055-404e-b7b0-d4a47ad0244d;2025-03-23;1900-01-01 11:25:00;Yes;RS;;;;;;RS;;;;;;RL;;MS;;;;RS;;GG;;;;green;685;685.0
0b074e19-d718-4498-a963-68b5951d4c6d;2025-03-23;1900-01-01 11:27:00;Yes;RS;;;;;;RS;;;;;;RL;;MS;;;;RS;;GG;;;;green;687;687.0
b14fa8d6-bf0e-44b6-99ee-21775d956ad5;2025-03-23;1900-01-01 11:29:00;NO;RS;;;;;;RS;;MS, GG;;;;RL;;MS, SB;;;;RL;;SB, GG;;;;red;689;689.0
1bb2b661-a95f-4d15-9e04-3f4979561f6e;2025-03-23;1900-01-01 11:31:00;Yes;RS;;;;;;RS;;MS, GG;;;;RL;;MS, SB;;;;RL;;SB, GG;;;;green;691;691.0
0be2197c-6b8d-4ec2-8682-094221a53565;2025-03-23;1900-01-01 11:33:00;Yes;RS;;;;;;RS;;MS, GG;;;;RL;;MS, SB;;;;RL;;SB, GG;;;;green;693;693.0
62e14e1f-c688-428c-b9f5-ae958c57b701;2025-03-23;1900-01-01 11:35:00;Yes;RS;;;;;;RS;;MS, GG;;;;RL;;MS, SB;;;;RL;;SB, GG;;;;green;695;695.0
f00f55ed-c20f-4ddf-b449-669f8052a33b;2025-03-23;1900-01-01 11:37:00;Yes;RS;;;;;;RS;;MS, GG;;;;RL;;MS, SB;;;;RL;;SB, GG;;;;green;697;697.0
1c8b0427-d912-42ea-aecb-98edbdabc80a;2025-03-23;1900-01-01 11:39:00;NO;RS;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;red;699;699.0
57151697-88d9-4579-8104-fc81b7174fda;2025-03-23;1900-01-01 11:41:00;Yes;RS;;;;;;RS;;;;;;RS;;;MS;;;RS;;;GG;;;green;701;701.0
6fa3e575-58fb-485b-8709-5e39f0204dc4;2025-03-23;1900-01-01 11:43:00;NO;RS;;;;;;M;;;;;;PL;;MS;;;;PL;;GG;;;;;703;703.0
1e8ed468-ee4e-47d7-8a65-0189d1efaaf1;2025-03-23;1900-01-01 11:45:00;NO;RS;;;;;;RS;;;;;;RS;;MS;;;;RS;;GG;;;;;705;705.0
e52acab3-2ca2-40c9-9b85-82aca07bf8f3;2025-03-23;1900-01-01 13:19:00;NO;E;;;;;;E;;;MS;;;E;;;MS;;;E;;;SB, GG;;;;799;799.0
22b832e1-40ee-4c90-9106-bf312e4d8bf8;2025-03-23;1900-01-01 13:21:00;NO;RS;;;GG;;;E;;;MS;;;M;;;MZ;;;E;;;SB;;;;801;801.0
d0dad4a5-3068-4574-aed5-e3258931c2ba;2025-03-23;1900-01-01 13:23:00;NO;E;;;;;;E;;GG, MS;;;;E;;MS, SB;;;;E;;SB, GG;;;;;803;803.0
cf10241c-e260-40af-8b2a-01b82c478bdd;2025-03-23;1900-01-01 13:25:00;NO;E;;;;;;E;;;GG, MS;;;E;;MS;SB;;;E;;GG;SB;;;;805;805.0
cc80fd33-4fac-4e07-9c5c-f50e39c12b04;2025-03-23;1900-01-01 13:27:00;NO;RS;;;;;;M;;;;;;E;;;MS;;;E;;;GG;;;;807;807.0
55cc2d22-cd96-4c76-9ccf-ea27fee29679;2025-03-23;1900-01-01 13:29:00;NO;RS;;;;;;RS;;;;;;E;;;MS;;;E;;;GG;;;;809;809.0
3bcef7e7-9558-473c-9109-d29a8df7400e;2025-03-23;1900-01-01 13:31:00;NO;RS;;;;;;RS;;;;;;M;;;;;;RS;;;;;;;811;811.0
b901ea2e-39f0-4bd0-b6cc-8b940323a006;2025-03-23;1900-01-01 13:33:00;NO;E;;;;;;RS;;;;;;E;;;;;;RS;;;;;;red;813;813.0
0deab4a1-b720-42ba-93be-8545903e4747;2025-03-23;1900-01-01 13:35:00;Yes;E;;;;;;RS;;;;;;E;;;;;;RS;;;;;;green;815;815.0
a2f19035-f76b-4d84-88d8-ff3dfaca239b;2025-03-23;1900-01-01 13:37:00;NO;E;;;;;;E;;;GG;;;E;;;SB;;;E;;;;;;red;817;817.0
12ba7bc4-f290-4fe2-bcd6-dc79b0471f3c;2025-03-23;1900-01-01 13:39:00;Yes;E;;;;;;E;;;GG;;;E;;;SB;;;E;;;;;;green;819;819.0
