ec5_uuid,date,1_TIme,msm,corrected_msm,Ind_1(MS),MS_Behavior,MS_Contact,MS_AR,MS_3M,MS_Notes,Ind_2(ST),ST_Behavior,ST_Contact,ST_AR,ST_3M,ST_Notes,Ind_3(NH),NH_Behavior,NH_Contact,NH_AR,NH_3M,NH_Notes,Ind_4(LN),LN_Behavior,LN_Contact,LN_AR,LN_3M,LN_Notes,Ind_5(NR),NR_Behavior,NR_Contact,NR_AR,NR_3M,NR_Notes,Ind_6(MN),MN_Behavior,MN_Contact,MN_AR,MN_3M,MN_Notes,Ind_7(NY),NY_Behavior,NY_Contact,NY_AR,NY_3M,NY_Notes,condition,trial,first_day,phase,group,is_all_occasions,block_ID
e374d507-c698-46b2-ac5d-3d12fd2b12cd,12-03-2025,1900-01-01 14:39:00,879,,MS,PL,ST,,,,ST,PL,MS,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,,1,False,_1_trial1_sec_play
7814adef-1d0d-45b6-b431-04d4ddee7b74,12-03-2025,1900-01-01 14:41:00,881,881.0,MS,PL,,ST,NH,,ST,PL,MS,,NH,,NH,,,,"MS, ST",,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,enrich,1,False,enrich_1_trial1_sec_play
7814adef-1d0d-45b6-b431-04d4ddee7b74,12-03-2025,1900-01-01 14:41:00,881,,MS,PL,,ST,NH,,ST,PL,MS,,NH,,NH,,,,"MS, ST",,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,,1,False,_1_trial1_sec_play
18d2059f-0ab6-4768-9201-af2906e3e05a,12-03-2025,1900-01-01 14:43:00,883,883.0,MS,PL,ST,,,,ST,PL,MS,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,enrich,1,False,enrich_1_trial1_sec_play
18d2059f-0ab6-4768-9201-af2906e3e05a,12-03-2025,1900-01-01 14:43:00,883,,MS,PL,ST,,,,ST,PL,MS,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,,1,False,_1_trial1_sec_play
db2628fe-4b78-44c8-a4e7-5dfcb547086e,12-03-2025,1900-01-01 14:45:00,885,885.0,MS,PL,ST,,,,ST,PL,MS,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,enrich,1,False,enrich_1_trial1_sec_play
db2628fe-4b78-44c8-a4e7-5dfcb547086e,12-03-2025,1900-01-01 14:45:00,885,,MS,PL,ST,,,,ST,PL,MS,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,,1,False,_1_trial1_sec_play
589acbf7-d2bd-475d-819f-8be323479fef,14-03-2025,1900-01-01 09:44:00,584,584.0,MS,,,,,,ST,,,,,,NH,,,,,,LN,,,,,,NR,PL,,MN,,,MN,,,,,,NY,,,,,,Crow,1,True,morn1,2,False,morn1_2_trial1_first_cont
7ee79de3-115d-40ac-9cd0-bd881b5cca62,14-03-2025,1900-01-01 09:46:00,586,586.0,MS,,,,,,ST,,,,,,NH,,,,,,LN,,,,,,NR,PL,,MN,,,MN,,,,,,NY,,,,,,Crow,1,True,morn1,2,False,morn1_2_trial1_first_cont
a34e9985-10cd-4907-a518-00e9e716ca09,14-03-2025,1900-01-01 09:48:00,588,588.0,MS,,,,,,ST,,,,,,NH,,,,,,LN,,,,,,NR,PL,,MN,,,MN,PL,,NR,,,NY,,,,,,Crow,1,True,morn1,2,False,morn1_2_trial1_first_cont
895c7f1b-5c49-4cfb-b3d5-a444c759daa8,14-03-2025,1900-01-01 10:08:00,608,608.0,MS,,,,,,ST,,,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,PL,,,,Playing with a bottle,NY,,,,,,Crow,1,True,morn1,2,False,morn1_2_trial1_first_cont
37389303-c253-4154-8ec0-1c684fed8e49,14-03-2025,1900-01-01 10:16:00,616,616.0,MS,,,,,,ST,,,,,,NH,DS,,,,Towards cage c,LN,,,,,,NR,,,,,,MN,DS,,,,Towards cage c,NY,,,,,,Crow,1,True,morn1,2,False,morn1_2_trial1_first_cont
4cf78534-4969-468f-8e3f-46817c70d734,14-03-2025,1900-01-01 10:28:00,628,628.0,MS,,,,,,ST,,,,,,NH,,,,,,LN,,,,,,NR,PL,,,,Playing with a bottle,MN,,,,,,NY,,,,,,Crow,1,True,morn1,2,False,morn1_2_trial1_first_cont
c934b92c-f194-4b67-8425-0174a72af684,14-03-2025,1900-01-01 10:30:00,630,630.0,MS,,,,,,ST,,,,,,NH,,,,,,LN,,,,,,NR,PL,,,MN,,MN,PL,,,NR,,NY,,,,,,Crow,1,True,morn1,2,False,morn1_2_trial1_first_cont
0a61340a-660d-4d6a-97e5-f469015cc92c,14-03-2025,1900-01-01 13:48:00,828,827.0,MS,,,,,,ST,,,,,,NH,PL,,NR,,,LN,,,,,,NR,PL,,NH,,,MN,,,,,,NY,,,,,,Crow,1,True,enrich,2,False,enrich_2_trial1_first_cont
56d5bda0-86ba-4562-9964-c203e238bbd0,14-03-2025,1900-01-01 13:49:00,829,829.0,MS,,,,,,ST,,,,,,NH,PL,,NR,,,LN,,,,,,NR,PL,,NH,,,MN,,,,,,NY,,,,,,Crow,1,True,enrich,2,False,enrich_2_trial1_first_cont
6ef88271-c776-4cc2-83c0-d5f118d717df,14-03-2025,1900-01-01 13:51:00,831,831.0,MS,,,,,,ST,,,,,,NH,PL,,NR,,,LN,,,,,,NR,PL,,NH,,,MN,,,,,,NY,,,,,,Crow,1,True,enrich,2,False,enrich_2_trial1_first_cont
67efdec0-419d-42dd-a9c3-013cdf30371c,14-03-2025,1900-01-01 13:53:00,833,833.0,MS,,,,,,ST,,,,,,NH,PL,,NR,,,LN,,,,,,NR,PL,,NH,,,MN,,,,,,NY,,,,,,Crow,1,True,enrich,2,False,enrich_2_trial1_first_cont
19aeb07d-44b1-494a-82a5-e69e125c1002,23-03-2025,1900-01-01 09:51:00,591,590.0,MS,,,,,,ST,,,,,,NH,,,,,,LN,,,,,,NR,PL,,MN,,,MN,PL,,NR,,,NY,,,,,,Playback,2,True,morn1,2,False,morn1_2_trial2_first_play
fcd3521a-0d39-4c28-b305-49996f48a378,23-03-2025,1900-01-01 13:33:00,813,813.0,MS,,,,,,ST,,,,,,NH,PL,,NR,,,LN,,,,,,NR,PL,,NH,,,MN,,,,,,NY,,,,,,Playback,2,True,enrich,2,False,enrich_2_trial2_first_play
976dcfe0-0817-43da-aa5d-00a9c9ea7d52,23-03-2025,1900-01-01 13:35:00,815,815.0,MS,,,,,,ST,,,,,,NH,PL,,NR,,,LN,,,,,,NR,PL,,NH,,,MN,,,,,,NY,,,,,,Playback,2,True,enrich,2,False,enrich_2_trial2_first_play
251f372c-f46d-48b2-af1a-1e875d3e8577,24-03-2025,1900-01-01 09:48:00,588,588.0,MS,,,,,,ST,,,,,,NH,,,,,,LN,,,,,,NR,PL,,MN,,,MN,PL,,NR,,,NY,,,,,,Playback,2,False,morn1,2,False,morn1_2_trial2_sec_play
222b219a-f5ff-43d5-88c6-cc15d0be156e,24-03-2025,1900-01-01 10:24:00,624,624.0,MS,,,,,,ST,,,,,,NH,,,,,,LN,,,,,,NR,PL,,MN,,,MN,PL,,NR,,,NY,,,,,,Playback,2,False,morn1,2,False,morn1_2_trial2_sec_play
3939f477-0d62-4b91-b651-436b5452a7d7,24-03-2025,1900-01-01 10:26:00,626,626.0,MS,,,,,,ST,,,,,,NH,,,,,,LN,,,,,,NR,PL,,MN,,,MN,PL,,NR,,,NY,,,,,,Playback,2,False,morn1,2,False,morn1_2_trial2_sec_play
cb0e0c90-c1b7-4a39-824d-ce4ca3932c78,24-03-2025,1900-01-01 10:28:00,628,628.0,MS,,,,,,ST,,,,,,NH,,,,,,LN,,,,,,NR,PL,,MN,,,MN,PL,,NR,,,NY,,,,,,Playback,2,False,morn1,2,False,morn1_2_trial2_sec_play
3287e783-21b1-47e3-8222-70a568353ee6,24-03-2025,1900-01-01 14:02:00,842,841.0,MS,,,,,,ST,,,,,,NH,PL,,NR,,,LN,,,,,,NR,PL,,NH,,,MN,,,,,,NY,,,,,,Playback,2,False,enrich,2,False,enrich_2_trial2_sec_play
