ec5_uuid,condition,date,msm,group,trial,phase,block_ID,Ind1,partner,dyad,distance
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d,Playback,11-03-2025,596,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,MN,TK-MN,4
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d,Playback,11-03-2025,596,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,NY,TK-NY,4
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d,Playback,11-03-2025,596,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,NR,TK-NR,4
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d,Playback,11-03-2025,596,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,LN,TK-LN,4
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d,Playback,11-03-2025,596,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,MN,LN-MN,4
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d,Playback,11-03-2025,596,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,NY,LN-NY,4
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d,Playback,11-03-2025,596,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,NR,LN-NR,4
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d,Playback,11-03-2025,596,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,TK,LN-TK,4
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,NY,MN-NY,4
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,NR,MN-NR,4
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,TK,MN-TK,4
f5691a9a-fc19-4221-aa5e-704967b4b1c6,Playback,11-03-2025,597,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,LN,MN-LN,4
