ec5_uuid,date,1_TIme,2_NC,4_MN_Behavior,5_Contact,6_AR,7_3M,8_Notes,10_NY_Behavior,11_Contact,12_AR,13_3M,14_Notes,16_NR_Behavior,17_Contact,18_AR,19_3M,20_Notes,22_TK_Behavior,23_Contact,24_AR,25_3M,26_Notes,28_LN_Behavior,29_Contact,30_AR,31_3M,Unnamed: 28,highlight,msm
c2ac3bd1-87e6-47b7-9c5a-a9f72c30e5de,2025-03-11,1900-01-01 13:19:00,NO,E,,,,,E,,,"NR, TK",,E,,"TK, NY",,,E,,NR,,,RS,,,,,,799
05b44685-8d0e-4f2d-a5b3-73cfee669d43,2025-03-11,1900-01-01 13:21:00,NO,E,,,,,E,,,,,E,,TK,,,E,,NR,,,RS,,,,,red,801
6530a41b-454a-4a52-88ee-86084191484b,2025-03-11,1900-01-01 13:23:00,Yes,E,,,,,E,,,,,E,,TK,,,E,,NR,,,RS,,,,,green,803
467ac427-65d5-45f3-a098-9f0216ca2b24,2025-03-11,1900-01-01 13:25:00,Yes,E,,,,,E,,,,,E,,TK,,,E,,NR,,,RS,,,,,green,805
31bf4e1b-cda3-4985-b1fb-19e237dcf912,2025-03-11,1900-01-01 13:27:00,NO,E,,,,,E,,TK,NR,,E,,,"TK, NY",,E,,NY,NR,,RS,,,,,,807
08c705a1-0fbc-4081-b881-745b29ea6a1c,2025-03-11,1900-01-01 13:29:00,NO,E,,"NY, TK",NR,,E,,"MN, TK",NR,,E,,,"TK, MN, NY",,E,,"NY, MN",NR,,RS,,,,,,809
6997d726-dbeb-469c-b72e-b6d23d9b078d,2025-03-11,1900-01-01 13:31:00,NO,M,,NR,"TK, NY",,E,,,"TK, NR, MN",,E,,"TK, MN",NY,,E,,NR,"MN, NY",,RS,,,,,,811
1fc24355-850d-4412-8173-3455dbe7aac4,2025-03-11,1900-01-01 13:33:00,NO,M,,NY,"TK, NR",,M,,MN,"TK, NR",,E,,TK,"MN, NY",,E,,NR,"MN, NY",,RS,,,,,,813
8266a530-5719-4277-8695-129418338a97,2025-03-11,1900-01-01 13:35:00,NO,M,,,,,RS,,,,,E,,,,,E,,,,,RS,,,,,,815
81ff8cf8-4384-4208-867c-b96ad6a4dde9,2025-03-11,1900-01-01 13:37:00,NO,RS,,,NY,,RS,,,MN,,E,,,,,E,,,,,RS,,,,,,817
62504e53-61e0-4296-9f85-44629618aedd,2025-03-11,1900-01-01 13:39:00,NO,M,,NY,NR,,M,,MN,NR,,E,,,"MN, NY",,M,,,,,RS,,,,,,819
39fd407a-f6f0-47fc-bd50-3a4d8af723b3,2025-03-11,1900-01-01 13:41:00,NO,RS,,,NY,,RS,,,MN,,E,,,,,RS,,,,,RS,,,,,,821
cd19059d-c35f-42c2-a3e1-1e651ed0e1fb,2025-03-11,1900-01-01 13:43:00,NO,M,,NR,,,RS,,,,,M,,MN,,,RS,,,,,RS,,,,,,823
5064061f-40b6-4691-b617-b1557a73bb7e,2025-03-11,1900-01-01 13:45:00,NO,RS,,,NR,,RS,,,,,E,,,MN,,RS,,,,,RS,,,,,,825
475cff56-64f1-4b49-96b2-3a24c1f0945f,2025-03-11,1900-01-01 13:47:00,NO,E,,NR,,,M,,TK,,,E,,MN,,,RS,,NY,,,RS,,,,,,827
14cbaddd-108e-4a31-83d1-828c8e77578f,2025-03-11,1900-01-01 13:49:00,NO,RS,,,TK,,RS,,,,,E,,,,,RS,,,MN,,RS,,,,,,829
8edd5abd-0ed3-4b1a-a706-ef53053617f9,2025-03-11,1900-01-01 13:51:00,NO,RS,,,,,RS,,,,,E,,,,,RS,,,LN,,RS,,,TK,,,831
8b4e02d2-9394-427c-94c1-a070597f91ae,2025-03-11,1900-01-01 13:53:00,NO,RS,,,,,RS,,,,,RS,,,,,RS,,,LN,,RS,,,TK,,,833
c128783f-89e4-4981-b941-288371093346,2025-03-11,1900-01-01 13:55:00,NO,RS,,"TK, LN, NR",,,RS,,,,,RS,,"TK, LN, MN",,,RS,,"MN, NR",LN,,RS,,"MN, NR",TK,,,835
2952cf85-18a2-4c27-91a0-c0e28aeafb2a,2025-03-11,1900-01-01 13:57:00,NO,GG,LN,TK,,,RS,,,,,RS,,,,,RS,,MN,LN,,GR,MN,,TK,,red,837
30c00181-fbdf-4012-8d05-75b703f3e45e,2025-03-11,1900-01-01 13:59:00,Yes,GG,LN,TK,,,RS,,,,,RS,,,,,RS,,MN,LN,,GR,MN,,TK,,green,839
50aa05d2-e05c-4730-a5f8-2863487dfe03,2025-03-11,1900-01-01 14:01:00,Yes,GG,LN,TK,,,RS,,,,,RS,,,,,RS,,MN,LN,,GR,MN,,TK,,green,841
8e5dffcc-d384-4fe7-bc0e-3a53d69d7d48,2025-03-11,1900-01-01 14:03:00,NO,GM,LN,TK,,,RS,,,NR,,RS,,,NY,,RS,,MN,LN,,GM,MN,,TK,,red,843
d115a8c7-77f1-4d5d-a718-52049f8d57cb,2025-03-11,1900-01-01 14:05:00,Yes,GM,LN,TK,,,RS,,,NR,,RS,,,NY,,RS,,MN,LN,,GM,MN,,TK,,green,845
58d0c47a-f3eb-4551-ab45-494e50de9584,2025-03-11,1900-01-01 14:07:00,NO,GM,LN,TK,,,RS,,NR,,,RS,,NY,,,RS,,MN,LN,,GM,MN,,TK,,red,847
e4e4114b-d40b-4f7f-bf83-0719c3d69454,2025-03-11,1900-01-01 14:09:00,Yes,GM,LN,TK,,,RS,,NR,,,RS,,NY,,,RS,,MN,LN,,GM,MN,,TK,,green,849
47302283-79ba-4ff2-a736-a5dca3b2eef4,2025-03-11,1900-01-01 14:11:00,Yes,GM,LN,TK,,,RS,,NR,,,RS,,NY,,,RS,,MN,LN,,GM,MN,,TK,,green,851
57d0b794-3fd2-4a42-a20e-76275de15171,2025-03-11,1900-01-01 14:13:00,Yes,GM,LN,TK,,,RS,,NR,,,RS,,NY,,,RS,,MN,LN,,GM,MN,,TK,,green,853
59541a8a-020d-40fe-8609-57915d33f669,2025-03-11,1900-01-01 14:15:00,Yes,GM,LN,TK,,,RS,,NR,,,RS,,NY,,,RS,,MN,LN,,GM,MN,,TK,,green,855
77e5378a-729d-433e-bc6e-c5ea9fdb72ab,2025-03-11,1900-01-01 14:17:00,NO,GM,LN,TK,,,RS,,,,,RS,,,,,RS,,MN,LN,,GM,MN,,TK,,red,857
f428531a-bc8c-4802-bab9-fc7259cea67f,2025-03-11,1900-01-01 14:19:00,Yes,GM,LN,TK,,,RS,,,,,RS,,,,,RS,,MN,LN,,GM,MN,,TK,,green,859
bd55aeb3-4a82-4054-8894-bb634fcfb797,2025-03-11,1900-01-01 14:21:00,Yes,GM,LN,TK,,,RS,,,,,RS,,,,,RS,,MN,LN,,GM,MN,,TK,,green,861
f32a21d2-4853-4a8d-8290-187592cadb4d,2025-03-11,1900-01-01 14:23:00,NO,GM,LN,TK,,,GM,NR,,,,GM,NY,,,,RS,,MN,LN,,GM,MN,,TK,,red,863
cd842486-c470-4648-8f23-7c9f998d2d9a,2025-03-11,1900-01-01 14:25:00,Yes,GM,LN,TK,,,GM,NR,,,,GM,NY,,,,RS,,MN,LN,,GM,MN,,TK,,green,865
73223e6b-2bd2-49e3-ba92-4ac37e377d0e,2025-03-11,1900-01-01 14:27:00,Yes,GM,LN,TK,,,GM,NR,,,,GM,NY,,,,RS,,MN,LN,,GM,MN,,TK,,green,867
fa398084-a6b1-49ee-94b2-a0b321de3b2e,2025-03-11,1900-01-01 14:29:00,NO,GM,LN,TK,,,SD,,NR,,,SD,,NY,,,RS,,MN,LN,,GM,MN,,TK,,,869
4bb1be29-97ba-4406-abbe-8a49705eb935,2025-03-11,1900-01-01 14:31:00,NO,GM,LN,TK,,,M,,,NR,,M,,,NY,,RS,,MN,LN,,GM,MN,,TK,,,871
897f1920-008b-4788-a137-f9da8ee29b56,2025-03-11,1900-01-01 14:33:00,NO,GM,LN,TK,,,RS,,,,,RS,,,,,RS,,MN,LN,,GM,MN,,TK,,,873
afb11974-c1fd-434b-8f11-bd0038e9e41e,2025-03-11,1900-01-01 14:35:00,NO,GM,LN,TK,,,RS,,,,,M,,,,,M,,"MN, LN",,,GM,MN,TK,,,,875
8e15b6b8-baa0-4a48-be36-bf6f1a825d89,2025-03-11,1900-01-01 14:37:00,NO,GM,LN,,,,RS,,,,,RS,,,,,M,,,,,GM,MN,,,,,877
3bbcea78-a4b4-41a5-bae5-752c1283fccb,2025-03-11,1900-01-01 14:39:00,NO,M,,LN,,,M,,,,,RS,,,,,RS,,,,,RS,,MN,,,,879
f6ab0def-f52c-486f-8c92-8cf62f6749a1,2025-03-11,1900-01-01 14:41:00,NO,GG,LN,,,,RS,,,,,RS,,,,,E,,,,,GR,MN,,,,,881
6958a156-4253-4a6a-ad10-0d2f8d8a772e,2025-03-11,1900-01-01 14:43:00,NO,GG,LN,,,,RS,,NR,,,RS,,NY,,,E,,,,,GR,MN,,,,red,883
5c3e64df-8693-4e24-a263-c3436776f9ef,2025-03-11,1900-01-01 14:45:00,Yes,GG,LN,,,,RS,,NR,,,RS,,NY,,,E,,,,,GR,MN,,,,green,885
423e8c15-243b-4ca6-9677-4a4ff0244753,2025-03-12,1900-01-01 09:33:00,NO,M,,,NY,,RS,,,ST,,RS,,,,,RS,,,,,RS,,,,,,573
32e1e66f-eea7-4e19-9655-ef80e822f682,2025-03-12,1900-01-01 09:35:00,NO,E,,SR,,,RS,,,,,E,,ST,,,RS,,,,,RS,,,,,,575
1eb930ae-ea07-4bd7-b2e4-5910b9f3c9c5,2025-03-12,1900-01-01 09:37:00,NO,E,,SR,TN,,RS,TK,,,,E,,"TN, ST",,,RS,,NY,,,RS,,SR,ST,,red,577
d9a8e04c-8d72-44f2-bf42-f7f796005717,2025-03-12,1900-01-01 09:39:00,Yes,E,,SR,TN,,RS,TK,,,,E,,"TN, ST",,,RS,,NY,,,RS,,SR,ST,,green,579
8bb72d3b-9900-453c-a890-f63c17a8610b,2025-03-12,1900-01-01 09:41:00,NO,M,,,"SR, TN",,RS,,,TK,,E,,TN,ST,,RS,,,NY,,RS,,SR,ST,,,581
d5f673a0-9b3e-4161-af9e-10468f362001,2025-03-12,1900-01-01 09:43:00,NO,RS,,,TK,,RS,,,TK,,E,,TN,,,RS,,,"NY, ST",,RS,,SR,,,,583
dcb62778-628b-459f-95f1-5599a54d4381,2025-03-12,1900-01-01 09:45:00,NO,RS,,,TK,,RS,,,TK,,GG,TN,,,,RS,,,"NY, ST",,GR,SR,,,,,585
59ace8d4-27ab-475f-877d-968b63b7aef6,2025-03-12,1900-01-01 09:47:00,NO,RS,,,,,RS,,,TK,,GG,TN,,,,RS,,,NY,,GR,SR,,,,,587
6ee24f84-f010-454c-abf8-caa500a66043,2025-03-12,1900-01-01 09:49:00,NO,M,,,NY,,RS,,,ST,,RS,,TN,,,RS,,,,,RS,,SR,,,,589
661d80b2-457e-4d9c-a605-4baeb062c3bd,2025-03-12,1900-01-01 09:51:00,NO,GG,SR,TN,,,RS,,,,,GR,ST,TN,,,RS,,,,,RS,,"ST, SR",,,,591
11768b2f-c3ec-4fc8-9121-47f2b60cd29c,2025-03-12,1900-01-01 09:53:00,NO,GG,SR,TN,,,RS,,,TK,,GR,ST,TN,,,RS,,,NY,,RS,,"ST, SR",,,red,593
c82c1bcb-c707-44bb-8cd7-958ada5b8a32,2025-03-12,1900-01-01 09:55:00,Yes,GG,SR,TN,,,RS,,,TK,,GR,ST,TN,,,RS,,,NY,,RS,,"ST, SR",,,green,595
3ab77880-1f66-4212-b493-80ae1e028afa,2025-03-12,1900-01-01 09:57:00,Yes,GG,SR,TN,,,RS,,,TK,,GR,ST,TN,,,RS,,,NY,,RS,,"ST, SR",,,green,597
6993cfbb-d90d-4d25-898d-dcbae57c582b,2025-03-12,1900-01-01 09:59:00,NO,GM,SR,TN,,,RS,,,TK,,GM,ST,TN,,,RS,,,NY,,RS,,"ST, SR",,,red,599
2cc43214-f44f-4020-b2ad-0097e85e1447,2025-03-12,1900-01-01 10:01:00,Yes,GM,SR,TN,,,RS,,,TK,,GM,ST,TN,,,RS,,,NY,,RS,,"ST, SR",,,green,601
a594e181-2ddc-43c4-845d-35e9ccbc5e21,2025-03-12,1900-01-01 10:03:00,Yes,GM,SR,TN,,,RS,,,TK,,GM,ST,TN,,,RS,,,NY,,RS,,"ST, SR",,,green,603
0f677356-811e-4730-8e50-6798f4c4eaaf,2025-03-12,1900-01-01 10:05:00,Yes,GM,SR,TN,,,RS,,,TK,,GM,ST,TN,,,RS,,,NY,,RS,,"ST, SR",,,green,605
41bdcb0f-1cdf-4685-bf84-9297c9a3f50f,2025-03-12,1900-01-01 10:07:00,Yes,GM,SR,TN,,,RS,,,TK,,GM,ST,TN,,,RS,,,NY,,RS,,"ST, SR",,,green,607
6a1da9bf-fb5e-4e34-9c6e-215e5dd18e0f,2025-03-12,1900-01-01 10:09:00,Yes,GM,SR,TN,,,RS,,,TK,,GM,ST,TN,,,RS,,,NY,,RS,,"ST, SR",,,green,609
937e353b-7498-4024-b62a-2d1a6323e6d4,2025-03-12,1900-01-01 10:11:00,Yes,GM,SR,TN,,,RS,,,TK,,GM,ST,TN,,,RS,,,NY,,RS,,"ST, SR",,,green,611
1a6512a2-adc1-4eb1-a13e-ec1aed926824,2025-03-12,1900-01-01 10:13:00,Yes,GM,SR,TN,,,RS,,,TK,,GM,ST,TN,,,RS,,,NY,,RS,,"ST, SR",,,green,613
8df1a0c3-1866-4e60-ae5a-8017b7667b48,2025-03-12,1900-01-01 10:15:00,NO,GM,SR,TN,,,SD,,,TK,,GM,ST,TN,,,RS,,,NY,,RS,,"ST, SR",,,,615
c70d2ab9-e191-409a-9ae5-a1ed19ca2074,2025-03-12,1900-01-01 10:17:00,NO,GM,SR,TN,,,RS,,,TK,,GM,ST,TN,,,RS,,,NY,,RS,,"ST, SR",,,red,617
7fc3115c-ccaa-4b4b-bc29-b549a7a27b1c,2025-03-12,1900-01-01 10:19:00,Yes,GM,SR,TN,,,RS,,,TK,,GM,ST,TN,,,RS,,,NY,,RS,,"ST, SR",,,green,619
cc836ca9-c0a6-43cd-ac97-8e32d48b4562,2025-03-12,1900-01-01 10:21:00,Yes,GM,SR,TN,,,RS,,,TK,,GM,ST,TN,,,RS,,,NY,,RS,,"ST, SR",,,green,621
a5e10571-b713-46e7-8404-d7a7170d970f,2025-03-12,1900-01-01 10:23:00,Yes,GM,SR,TN,,,RS,,,TK,,GM,ST,TN,,,RS,,,NY,,RS,,"ST, SR",,,green,623
93c38e08-4747-4675-8e84-c8ed9a631bc6,2025-03-12,1900-01-01 10:25:00,Yes,GM,SR,TN,,,RS,,,TK,,GM,ST,TN,,,RS,,,NY,,RS,,"ST, SR",,,green,625
97f58550-2c69-482b-acf2-1ada079c9876,2025-03-12,1900-01-01 10:27:00,NO,M,,,,,RS,,,TK,,RS,,TN,,,RS,,,NY,,RS,,SR,,,,627
4ea75318-eb77-4d71-b604-ba50427e9bf3,2025-03-12,1900-01-01 10:29:00,NO,RS,,NY,TK,,RS,,ST,TK,,RL,,,,,RS,,,"NY, ST",,RS,,,,,,629
a4f2aa41-1877-4207-85ef-67e3ff40c0d8,2025-03-12,1900-01-01 10:31:00,NO,M,,"SR, TN",,,RS,,,,,M,,"TN, ST",,,RS,,,,,RS,,"ST, SR",,,,631
62debad5-0448-4135-8593-9954b8501510,2025-03-12,1900-01-01 10:49:00,NO,PL,,SR,,ChasingNR,RS,,,,,PL,,ST,,Being chased by MN,RS,,,,,RS,,,,,,649
74245bf4-7180-4a82-8ca6-4fa38685d859,2025-03-12,1900-01-01 10:51:00,NO,PL,,SR,,Being followed by NR,RS,,,,,PL,,ST,,Chasing MN,RS,,,,,RS,,,,,red,651
31347887-c7b7-4b79-9ade-3ce14f50b042,2025-03-12,1900-01-01 10:53:00,Yes,PL,,SR,,Being followed by NR,RS,,,,,PL,,ST,,Chasing MN,RS,,,,,RS,,,,,green,653
10f15212-7a54-45e1-8fab-724cda211a02,2025-03-12,1900-01-01 10:55:00,NO,RS,,,"SR, TN",,RS,,,,,RS,,TN,ST,,RL,,,,,RS,,SR,ST,,,655
3dcbcc91-0043-4c58-b07d-ea1ba2bc1281,2025-03-12,1900-01-01 10:57:00,NO,M,,,"TN, SR",,RS,,,,,RL,,TN,ST,,RL,,,,,RS,,SR,ST,,,657
d789dbd2-fd0d-4561-b0f8-1ab5304f555b,2025-03-12,1900-01-01 10:59:00,NO,RS,,,TK,,RS,,,,,RL,,,TN,,RL,,,ST,,RS,,,SR,,red,659
4d63c287-c589-4fff-b979-80a457067d13,2025-03-12,1900-01-01 11:01:00,Yes,RS,,,TK,,RS,,,,,RL,,,TN,,RL,,,ST,,RS,,,SR,,green,661
e75e0fe9-4373-41c8-8ec6-e640eca769fb,2025-03-12,1900-01-01 11:03:00,Yes,RS,,,TK,,RS,,,,,RL,,,TN,,RL,,,ST,,RS,,,SR,,green,663
