ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_TN_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;32_SR_Behavior;33_Contact;34_AR;35_3M;36_Occurence;37_Notes;highlight;msm;corrected_msm
4074f43a-56a7-4327-bc7f-81580603f844;2025-03-19;1900-01-01 11:06:00;NO;RS;;;;;;GR;SR;;TN;;;;;;;;;RS;;;SR, SB;;;GG;SB;;TN;;;;666;665.0
f33070b5-2dec-4e27-81f1-a5bcf5ed16c2;2025-03-19;1900-01-01 11:08:00;NO;RS;;;;;;RS;;SR;TN;;;;;;;;;RS;;;SB, SR;;;RS;;SB;TN;;;;668;667.0
0cca6203-fb76-4f68-9293-e52894ee42e7;2025-03-19;1900-01-01 11:10:00;NO;RS;;;;;;RS;;;TN, SR;;;;;;;;;RS;;;SB, SR;;;M;;;SB, TN;;;;670;669.0
8d094035-033c-4fc6-8ee0-137282c46667;2025-03-19;1900-01-01 11:12:00;NO;GG;SB;;TN;;;GR;TN;;TN;;;;;;;;;RL;;;SB, MZ;;;RS;;;;;;;672;671.0
c382ce2d-7b26-419f-b227-b3f9d333a854;2025-03-19;1900-01-01 11:14:00;NO;GG;TN;;SB;;;RS;;;TN, MZ;;;;;;;;;GR;MZ;;SB;;;RS;;;;;;red;674;673.0
491cb62d-8129-44a9-b320-fa3443fb0165;2025-03-19;1900-01-01 11:16:00;Yes;GG;TN;;SB;;;RS;;;TN, MZ;;;;;;;;;GR;MZ;;SB;;;RS;;;;;;green;676;675.0
761fde21-687e-4c82-9f8f-67f6deebc991;2025-03-19;1900-01-01 11:18:00;Yes;GG;TN;;SB;;;RS;;;TN, MZ;;;;;;;;;GR;MZ;;SB;;;RS;;;;;;green;678;677.0
333c5bc9-2c3f-4cb2-add2-3edb59015589;2025-03-19;1900-01-01 11:20:00;NO;SD;;TN;SB;;;RS;;;TN, MZ;;;;;;;;;RL;;MZ;SB;;;RS;;;;;;;680;679.0
9fa0f219-ded4-4ee9-8589-5a22a37942cd;2025-03-19;1900-01-01 11:22:00;NO;M;;;TN;;;M;;;;;;;;;;;;SD;;;MZ;;;RS;;;;;;;682;681.0
c1f7d6eb-c870-4036-8e1d-28de5df96f29;2025-03-19;1900-01-01 11:24:00;NO;RS;;;;;;RS;;;;;;;;;;;;RS;;;;;;M;;;;;;;684;683.0
fe9f529e-0bec-4ba9-82ae-7d241bfa7f67;2025-03-19;1900-01-01 11:26:00;NO;RS;;;;;;RS;;;SR;;;;;;;;;E;;;;;;M;;;SB;;;red;686;685.0
70afb450-62fe-4363-a088-219406da16c3;2025-03-19;1900-01-01 11:28:00;Yes;RS;;;;;;RS;;;SR;;;;;;;;;E;;;;;;M;;;SB;;;green;688;687.0
cf23d1d9-2f2b-4933-b69d-ec1f995bf7e5;2025-03-19;1900-01-01 11:30:00;Yes;RS;;;;;;RS;;;SR;;;;;;;;;E;;;;;;M;;;SB;;;green;690;689.0
f47f97ef-47e2-4e37-a987-01832ac0bc06;2025-03-19;1900-01-01 11:32:00;Yes;RS;;;;;;RS;;;SR;;;;;;;;;E;;;;;;M;;;SB;;;green;692;691.0
309bb8a4-ab95-4bfd-a7f8-a56e1aa8d2e4;2025-03-19;1900-01-01 11:34:00;NO;M;;;;;;RS;;;SR;;;;;;;;;SD;;;;;;RS;;;SB;;;;694;693.0
230afd2b-4e35-4dfe-9c8c-8afaa2983482;2025-03-19;1900-01-01 11:36:00;NO;SD;;;;;;RS;;;SR;;;;;;;;;RS;;;;;;M;;;SB;;;;696;695.0
fc9dffd0-71d2-4ad9-8e89-82cd72c59dc8;2025-03-19;1900-01-01 11:38:00;NO;RS;;;;;;RS;;;TN;;;;;;;;;RL;;;SB, SR;;;E;;;TN;;;red;698;697.0
3b13c527-ef2e-43b4-b534-9af5520eee2f;2025-03-19;1900-01-01 11:40:00;Yes;RS;;;;;;RS;;;TN;;;;;;;;;RL;;;SB, SR;;;E;;;TN;;;green;700;699.0
1d544cdf-4361-45cf-80be-4616c8fa6128;2025-03-19;1900-01-01 11:42:00;Yes;RS;;;;;;RS;;;TN;;;;;;;;;RL;;;SB, SR;;;E;;;TN;;;green;702;701.0
b6e40071-31f9-4dcc-af59-567299a7460c;2025-03-19;1900-01-01 11:44:00;Yes;RS;;;;;;RS;;;TN;;;;;;;;;RL;;;SB, SR;;;E;;;TN;;;green;704;703.0
7acfe11d-ac7f-4ad2-8a86-2a835dac7a00;2025-03-19;1900-01-01 11:46:00;Yes;RS;;;;;;RS;;;TN;;;;;;;;;RL;;;SB, SR;;;E;;;TN;;;green;706;705.0
b63d9629-3603-489e-8a8f-d1e86a56c860;2025-03-19;1900-01-01 13:20:00;NO;M;;;;;;E;;TN;SR;;;;;;;;;E;;SB;SR;;;RS;;;SB, TN;;;;800;799.0
410b0d53-1e59-45ab-ae3f-54c4926586e0;2025-03-19;1900-01-01 13:21:00;NO;E;;;TN, SB;;;E;;TN;MZ;;;;;;;;;E;;SB;MZ;;;M;;;;;;;801;801.0
32583337-5a2f-4650-bb9a-9faa82d06272;2025-03-19;1900-01-01 13:23:00;NO;E;;;SB, TN;;;E;;TN;MZ;;;;;;;;;E;;SB;MZ;;;RS;;;;;;red;803;803.0
5187d666-cd36-48da-b8bf-dc72a65f6cce;2025-03-19;1900-01-01 13:26:00;Yes;E;;;SB, TN;;;E;;TN;MZ;;;;;;;;;E;;SB;MZ;;;RS;;;;;;green;806;805.0
083c36a7-0f79-4c0d-b75b-2e7dc05f99bc;2025-03-19;1900-01-01 13:27:00;Yes;E;;;SB, TN;;;E;;TN;MZ;;;;;;;;;E;;SB;MZ;;;RS;;;;;;green;807;807.0
9ac60e19-bc74-4500-95fa-493a2fdc90e6;2025-03-19;1900-01-01 13:29:00;NO;E;;;TN;;;RS;;SR;;;;;;;;;;E;;;MZ;;;RS;SB;;;;;red;809;809.0
68abf06f-456d-48e1-8ad4-4ba1dfa84c69;2025-03-19;1900-01-01 13:31:00;Yes;E;;;TN;;;RS;;SR;;;;;;;;;;E;;;MZ;;;RS;SB;;;;;green;811;811.0
2c236d62-09e4-48e7-82bf-3dc088dcfd6a;2025-03-19;1900-01-01 13:33:00;Yes;E;;;TN;;;RS;;SR;;;;;;;;;;E;;;MZ;;;RS;SB;;;;;green;813;813.0
0b55e743-9e63-4486-8957-38e9bfbdfd9f;2025-03-19;1900-01-01 13:35:00;NO;M;;;;;;RS;;SR;;;;;;;;;;E;;;;;;RS;SB;;;;;;815;815.0
00ac217e-7775-43ea-b127-3f5373f023f3;2025-03-19;1900-01-01 13:37:00;NO;E;;;TN;;;RS;;SR;;;;;;;;;;E;;;MZ;;;RS;;SB;;;;;817;817.0
92cb7639-4e3e-49b6-8829-1d9b0634d01c;2025-03-19;1900-01-01 13:39:00;NO;E;;;;;;RS;;SR;;;;;;;;;;E;;;;;;RS;;SB;;;;red;819;819.0
b55b33c0-7d04-44a7-bf79-4083c4056082;2025-03-19;1900-01-01 13:41:00;Yes;E;;;;;;RS;;SR;;;;;;;;;;E;;;;;;RS;;SB;;;;green;821;821.0
da1760ce-c692-44fb-b537-e725772972d7;2025-03-19;1900-01-01 13:43:00;Yes;E;;;;;;RS;;SR;;;;;;;;;;E;;;;;;RS;;SB;;;;green;823;823.0
601d0773-c040-4ce4-b47d-0d2e4d2904f9;2025-03-19;1900-01-01 13:45:00;Yes;E;;;;;;RS;;SR;;;;;;;;;;E;;;;;;RS;;SB;;;;green;825;825.0
12224dde-8001-41fe-96ef-3e047ec3e2b4;2025-03-19;1900-01-01 13:47:00;Yes;E;;;;;;RS;;SR;;;;;;;;;;E;;;;;;RS;;SB;;;;green;827;827.0
b7a21c56-6743-49e7-a4a8-5945daa26906;2025-03-19;1900-01-01 13:49:00;Yes;E;;;;;;RS;;SR;;;;;;;;;;E;;;;;;RS;;SB;;;;green;829;829.0
be71f8b0-2160-4374-9beb-b45cf3abee09;2025-03-19;1900-01-01 13:52:00;Yes;E;;;;;;RS;;SR;;;;;;;;;;E;;;;;;RS;;SB;;;;green;832;831.0
b59c5786-2e19-4fd7-b828-c497c61769d4;2025-03-19;1900-01-01 13:54:00;NO;E;;;TN, SB;;;M;;;TN, MZ;;;;;;;;;E;;;SB, MZ;;;RS;;;;;;;834;833.0
2d3344de-38ed-47ad-b0db-a101847e4dfc;2025-03-19;1900-01-01 13:55:00;NO;E;;;SB, TN;;;E;;;MZ, TN;;;;;;;;;E;;;SB, MZ;;;RS;;;;;;;835;835.0
c3cd3cbe-de26-4e46-9506-cbcfc88cf00d;2025-03-19;1900-01-01 13:57:00;NO;E;;;;;;E;;;;;;;;;;;;E;;;;;;RS;;;;;;;837;837.0
1077ac9f-3650-4875-ba09-b8fd2ee0ff52;2025-03-19;1900-01-01 13:59:00;NO;E;;;;;;E;;TN;;;;;;;;;;E;;SB;;;;RS;;;;;;red;839;839.0
96c78b6e-4a18-4d2c-956c-134e05e9ef17;2025-03-19;1900-01-01 14:01:00;Yes;E;;;;;;E;;TN;;;;;;;;;;E;;SB;;;;RS;;;;;;green;841;841.0
f068aae7-2461-4490-8b8f-c14d16478ee0;2025-03-19;1900-01-01 14:03:00;NO;RS;;;;;;RS;;TN;;;;;;;;;;RS;;SB;;;;RS;;;;;;red;843;843.0
2996e05d-389d-48c9-bda7-cf492919dabd;2025-03-19;1900-01-01 14:05:00;Yes;RS;;;;;;RS;;TN;;;;;;;;;;RS;;SB;;;;RS;;;;;;green;845;845.0
774c13bc-d002-48f6-a0a5-810cb4f9d2f9;2025-03-19;1900-01-01 14:07:00;Yes;RS;;;;;;RS;;TN;;;;;;;;;;RS;;SB;;;;RS;;;;;;green;847;847.0
32daa425-4e1a-4fa6-946a-ae807c83573c;2025-03-19;1900-01-01 14:09:00;Yes;RS;;;;;;RS;;TN;;;;;;;;;;RS;;SB;;;;RS;;;;;;green;849;849.0
b965ddd7-457c-461e-a7c2-64c7d31f5114;2025-03-19;1900-01-01 14:11:00;Yes;RS;;;;;;RS;;TN;;;;;;;;;;RS;;SB;;;;RS;;;;;;green;851;851.0
e62d940d-2192-4de1-8424-aee15c3d1b22;2025-03-19;1900-01-01 14:13:00;Yes;RS;;;;;;RS;;TN;;;;;;;;;;RS;;SB;;;;RS;;;;;;green;853;853.0
89064911-0219-4276-8f1c-1695bb6aa80d;2025-03-19;1900-01-01 14:15:00;Yes;RS;;;;;;RS;;TN;;;;;;;;;;RS;;SB;;;;RS;;;;;;green;855;855.0
a2c2b1ec-be70-465e-9011-3dc4115727af;2025-03-19;1900-01-01 14:17:00;Yes;RS;;;;;;RS;;TN;;;;;;;;;;RS;;SB;;;;RS;;;;;;green;857;857.0
0ca2b299-7d78-4038-9ec8-c87023814c01;2025-03-19;1900-01-01 14:19:00;Yes;RS;;;;;;RS;;TN;;;;;;;;;;RS;;SB;;;;RS;;;;;;green;859;859.0
bbc67e63-c514-4c2b-8a99-f4a46893c991;2025-03-19;1900-01-01 14:21:00;Yes;RS;;;;;;RS;;TN;;;;;;;;;;RS;;SB;;;;RS;;;;;;green;861;861.0
889dd5aa-3ac2-4746-a358-bb691e32344f;2025-03-19;1900-01-01 14:24:00;Yes;RS;;;;;;RS;;TN;;;;;;;;;;RS;;SB;;;;RS;;;;;;green;864;863.0
d8b9a38c-738a-4abe-ac9a-3aa0ed586520;2025-03-19;1900-01-01 14:25:00;Yes;RS;;;;;;RS;;TN;;;;;;;;;;RS;;SB;;;;RS;;;;;;green;865;865.0
0465b186-6d2c-4421-b03d-c33ee12d9bff;2025-03-19;1900-01-01 14:27:00;Yes;RS;;;;;;RS;;TN;;;;;;;;;;RS;;SB;;;;RS;;;;;;green;867;867.0
d651cfc6-1183-4986-a304-886b623ad396;2025-03-19;1900-01-01 14:29:00;NO;RS;;;;;;RS;;;TN;;;;;;;;;RL;;;SB;;;RS;;;;;;red;869;869.0
5c08f9c0-39ed-4773-b9be-03192fe8e34b;2025-03-19;1900-01-01 14:31:00;Yes;RS;;;;;;RS;;;TN;;;;;;;;;RL;;;SB;;;RS;;;;;;green;871;871.0
409b59ed-2fb6-4268-b890-79402f0ff29d;2025-03-19;1900-01-01 14:33:00;NO;RL;;;;;;RS;;;TN;;;;;;;;;RL;;;SB;;;RS;;;;;;;873;873.0
2bc79ab0-5211-450d-a8d1-9e860cfba92c;2025-03-19;1900-01-01 14:35:00;NO;RS;;;;;;RS;;;TN;;;;;;;;;RL;;;SB;;;RS;;;;;;;875;875.0
3d146c18-a5be-471a-b8d3-78bc770ffa67;2025-03-19;1900-01-01 14:37:00;NO;RS;;;;;;RS;;;TN;;;;;;;;;E;;;SB;;;RS;;;;;;red;877;877.0
e1597530-4376-4d7e-af19-a4a970b6f02f;2025-03-19;1900-01-01 14:39:00;Yes;RS;;;;;;RS;;;TN;;;;;;;;;E;;;SB;;;RS;;;;;;green;879;879.0
f1f69c6e-b4f2-43a9-9d6c-864e49dc8e41;2025-03-19;1900-01-01 14:41:00;Yes;RS;;;;;;RS;;;TN;;;;;;;;;E;;;SB;;;RS;;;;;;green;881;881.0
3d2fbdc8-ecaf-49c2-90ab-2126113ff9a4;2025-03-19;1900-01-01 14:43:00;Yes;RS;;;;;;RS;;;TN;;;;;;;;;E;;;SB;;;RS;;;;;;green;883;883.0
afdd7eb0-892c-4cd8-ae71-815a04730b83;2025-03-19;1900-01-01 14:45:00;Yes;RS;;;;;;RS;;;TN;;;;;;;;;E;;;SB;;;RS;;;;;;green;885;885.0
