ec5_uuid,date,1_TIme,msm,corrected_msm,Ind_1(MZ),MZ_Behavior,MZ_Contact,MZ_AR,MZ_3M,Ind_2(SB),SB_Behavior,SB_Contact,SB_AR,SB_3M,Ind_3(GG),GG_Behavior,GG_Contact,GG_AR,GG_3M,Ind_4(TN),TN_Behavior,TN_Contact,TN_AR,TN_3M,Ind_5(SR),SR_Behavior,SR_Contact,SR_AR,SR_3M,Ind_6(MS),MS_Behavior,MS_Contact,MS_AR,MS_3M,Ind_7(LN),LN_Behavior,LN_Contact,LN_AR,LN_3M,Ind_8(NR),NR_Behavior,NR_Contact,NR_AR,NR_3M,condition,trial,first_day,phase,group,is_all_occasions,block_ID
82586364-51b8-4129-ab25-3ccbeae05674,08-04-2025,1900-01-01 10:30:00,630,630.0,MZ,,,,,SB,DS,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Crow,3,True,morn1,1,False,morn1_1_trial3_first_cont
6a98a52c-70d1-4eaf-bdeb-312fc1571d76,08-04-2025,1900-01-01 10:51:00,651,651.0,MZ,DS,,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Crow,3,True,morn2,1,False,morn2_1_trial3_first_cont
427779be-676f-4400-bc92-19d0a9d0d8e2,08-04-2025,1900-01-01 11:03:00,663,663.0,MZ,,,,,SB,DS,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Crow,3,True,morn2,1,False,morn2_1_trial3_first_cont
4a2f18bd-cb04-4729-af9c-5bbb96da03fe,08-04-2025,1900-01-01 11:19:00,679,679.0,MZ,,,,,SB,DS,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Crow,3,True,morn2,1,False,morn2_1_trial3_first_cont
a45a5c6f-3170-40bd-8c83-e8c4d5f91a82,09-04-2025,1900-01-01 13:42:00,822,821.0,MZ,,,,,SB,,,,,GG,,,,,TN,AG,SR,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Crow,3,False,enrich,1,False,enrich_1_trial3_sec_cont
ca734bb9-3429-45e9-b6bb-a52b45d120d0,09-04-2025,1900-01-01 14:20:00,860,859.0,MZ,,,,,SB,,,,,GG,,,,,TN,PL,,"GG, SB",,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Crow,3,False,enrich,1,False,enrich_1_trial3_sec_cont
5eab034d-ae7a-4d4f-ac1c-c2f1876c7467,16-04-2025,1900-01-01 09:36:00,576,576.0,MZ,DS,,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Crow,4,True,morn1,3,False,morn1_3_trial4_first_cont
f1624119-c99f-4050-86ec-b4c6dc3278a1,16-04-2025,1900-01-01 09:42:00,582,582.0,MZ,DS,,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Crow,4,True,morn1,3,False,morn1_3_trial4_first_cont
d86a036f-bc1d-4ee5-8a69-cb4138aba374,16-04-2025,1900-01-01 10:00:00,600,600.0,MZ,,,,,SB,DS,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Crow,4,True,morn1,3,False,morn1_3_trial4_first_cont
78b7a1eb-0ebe-4d35-a0d1-2eeb5ca0743f,16-04-2025,1900-01-01 10:02:00,602,602.0,MZ,,,,,SB,DS,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Crow,4,True,morn1,3,False,morn1_3_trial4_first_cont
eb35670e-ac5e-4c7a-b9a9-3a24b907491a,16-04-2025,1900-01-01 10:56:00,656,655.0,MZ,,,,,SB,AG,,,"GG, MZ, LN, NR",GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Crow,4,True,morn2,3,False,morn2_3_trial4_first_cont
43c913ef-438b-4741-8bff-a1cb6c41a537,17-04-2025,1900-01-01 14:18:00,858,857.0,MZ,,,,,SB,,,,,GG,PL,,NR,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Crow,4,False,enrich,3,False,enrich_3_trial4_sec_cont
883a792e-795c-49da-acf3-e5cec96a12fb,21-04-2025,1900-01-01 10:46:00,646,645.0,MZ,,,,,SB,,,,,GG,,,,,TN,AG,SR,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Playback,4,True,morn2,1,False,morn2_1_trial4_first_play
67457d92-ba94-45b1-9937-edb7760636e5,21-04-2025,1900-01-01 10:47:00,647,647.0,MZ,,,,,SB,,,,,GG,,,,,TN,AG,SR,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Playback,4,True,morn2,1,False,morn2_1_trial4_first_play
47c34299-5539-4871-9ea9-de5aa4eb3e20,21-04-2025,1900-01-01 10:50:00,650,649.0,MZ,,,,,SB,,,,,GG,,,,,TN,AG,SR,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Playback,4,True,morn2,1,False,morn2_1_trial4_first_play
fbb4625f-326e-498d-a0d4-abbe82ba36a0,21-04-2025,1900-01-01 10:51:00,651,651.0,MZ,,,,,SB,DS,,,,GG,DS,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Playback,4,True,morn2,1,False,morn2_1_trial4_first_play
fbb4625f-326e-498d-a0d4-abbe82ba36a0,21-04-2025,1900-01-01 10:51:00,651,,MZ,,,,,SB,,,,,GG,DS,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Playback,4,True,,1,False,_1_trial4_first_play
eb74e5f8-c4c5-47f0-a393-f1f36659ec96,21-04-2025,1900-01-01 10:54:00,654,653.0,MZ,,,,,SB,DS,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Playback,4,True,morn2,1,False,morn2_1_trial4_first_play
eb74e5f8-c4c5-47f0-a393-f1f36659ec96,21-04-2025,1900-01-01 10:54:00,654,655.0,MZ,,,,,SB,,,,,GG,,,,,TN,DS,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Playback,4,True,morn2,1,False,morn2_1_trial4_first_play
694f7a78-d7f2-43af-afce-a3a11e5dac1f,30-04-2025,1900-01-01 09:35:00,575,574.0,MZ,,,,,SB,PL,,NR,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Crow,5,True,morn1,3,False,morn1_3_trial5_first_cont
dd32b829-7524-4ea0-aa3d-d2e62a028d7a,30-04-2025,1900-01-01 09:41:00,581,580.0,MZ,PL,,NR,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Crow,5,True,morn1,3,False,morn1_3_trial5_first_cont
43aa72c0-f947-46d0-b8cd-d37a9a0a59b1,30-04-2025,1900-01-01 11:01:00,661,661.0,MZ,,,,,SB,PL,,NR,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Crow,5,True,morn2,3,False,morn2_3_trial5_first_cont
a4c0131e-f028-4e20-9c39-a26e87519b32,01-05-2025,1900-01-01 10:02:00,602,602.0,MZ,,,,,SB,PL,,NR,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Crow,5,False,morn1,3,False,morn1_3_trial5_sec_cont
895776ab-9022-4867-9b31-72e7c96cd452,01-05-2025,1900-01-01 14:08:00,848,847.0,MZ,,,,,SB,PL,,NR,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Crow,5,False,enrich,3,False,enrich_3_trial5_sec_cont
8f72c075-15c6-4027-a7e9-469cdbe689ab,04-05-2025,1900-01-01 10:24:00,624,624.0,MZ,,,,,SB,,,,,GG,PL,,MS,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Crow,6,True,morn1,2,False,morn1_2_trial6_first_cont
3446153b-21f5-48e6-acb0-1dadbe269d96,04-05-2025,1900-01-01 11:08:00,668,667.0,MZ,,,,,SB,PL,,MS,MZ,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Crow,6,True,morn2,2,False,morn2_2_trial6_first_cont
d3341bf2-de36-455a-a8b0-ff0c7f97b647,14-05-2025,1900-01-01 10:49:00,649,649.0,MZ,PL,,LN,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Playback,6,True,morn2,3,False,morn2_3_trial6_first_play
3b8cba56-db76-4f95-ad89-491bf5ddcc89,14-05-2025,1900-01-01 10:55:00,655,655.0,MZ,DS,,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Playback,6,True,morn2,3,False,morn2_3_trial6_first_play
d9048aef-ae84-4883-a76d-34f39e438c03,15-05-2025,1900-01-01 14:44:00,884,883.0,MZ,,,,,SB,PL,,LN,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Playback,6,False,enrich,3,False,enrich_3_trial6_sec_play
