ec5_uuid,condition,date,msm,group,is_all_occasions,trial,phase,first_day,block_ID,Ind1,behaviour,partner,notes,playing,aggression,agg_morn1,play_morn1,agg_morn2,play_morn2,agg_enrich,play_enrich,agg_extra,play_extra
yVr,Crow,2025-04-09 00:00:00,629.0,1,True,3,morn1,False,morn1_1_trial3_sec_cont,NY,DS,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ca9,Crow,2025-04-09 00:00:00,661.0,1,True,3,morn2,False,morn2_1_trial3_sec_cont,NY,DS,,,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
zC5,Crow,2025-05-04 00:00:00,690.0,2,True,6,morn2,True,morn2_2_trial6_first_cont,NY,DS,,,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3CY,Crow,2025-05-04 00:00:00,862.0,2,True,6,enrich,True,enrich_2_trial6_first_cont,NY,PL,TK,MOUTH ON MOUTH,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
nAh,Crow,2025-05-04 00:00:00,863.0,2,True,6,enrich,True,enrich_2_trial6_first_cont,NY,PL,TK,MOUTH ON MOUTH,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Z8y,Crow,2025-05-04 00:00:00,864.0,2,True,6,enrich,True,enrich_2_trial6_first_cont,NY,PL,TK,MOUTH ON MOUTH,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
uK1,Crow,2025-05-04 00:00:00,865.0,2,True,6,enrich,True,enrich_2_trial6_first_cont,NY,PL,TK,MOUTH ON MOUTH,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
R3a,Crow,2025-05-04 00:00:00,866.0,2,True,6,enrich,True,enrich_2_trial6_first_cont,NY,PL,TK,MOUTH ON MOUTH,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Fmb,Crow,2025-05-04 00:00:00,867.0,2,True,6,enrich,True,enrich_2_trial6_first_cont,NY,PL,TK,MOUTH ON MOUTH,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cJh,Crow,2025-05-04 00:00:00,868.0,2,True,6,enrich,True,enrich_2_trial6_first_cont,NY,PL,TK,MOUTH ON MOUTH,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
