ec5_uuid;created_at;1_TIme;2_NC;4_ST_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NY_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_SR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_TN_Behavior;29_Contact;30_AR;31_3M;32_Notes;highlight
2c51c471-5c94-4ec2-8102-854c01c70b2e;2025-03-24T00:51:06.000Z;09:50;NO;E;;SR;;;M;;;TN;;RS;;ST;;;RS;;;;;E;;;NY;;
6442ba57-d679-4fd6-91c7-02da02b5f8d4;2025-03-24T00:53:08.000Z;09:52;NO;E;;SR;;;E;;;TN;;RS;;ST;;;RS;;;;;E;;;NY;;red
077a77cf-62b0-4bca-b045-5641ea27a82f;2025-03-24T00:54:44.000Z;09:54;Yes;E;;SR;;;E;;;TN;;RS;;ST;;;RS;;;;;E;;;NY;;green
2fac72e4-2e03-48fa-b77a-5e5d0d4c36ad;2025-03-24T00:57:13.000Z;09:56;NO;M;;;TN;;E;;;;;RS;;;;;RS;;;;;E;;;ST;;
1fb41294-7562-4986-80a8-7c50953a880d;2025-03-24T00:59:13.000Z;09:58;NO;RS;;;;;RS;;;TK;;RS;;;TN;;RS;;;NY;;E;;;SR;;
c4e7b868-e2b4-4771-9192-5e416947ef4f;2025-03-24T01:01:19.000Z;10:00;NO;RS;;SR;;;RS;;;TK;;RS;;ST;;;RS;;;NY;;E;;;;;red
ba6f2d2d-9ba3-452c-b495-b877f87629dc;2025-03-24T01:02:48.000Z;10:02;Yes;RS;;SR;;;RS;;;TK;;RS;;ST;;;RS;;;NY;;E;;;;;green
fedcb13d-bdc1-4e31-ae02-3b226f52d226;2025-03-24T01:05:03.000Z;10:04;NO;RS;;;SR;;RS;;;TK;;RS;;;ST;;RS;;;NY;;E;;;;;
83bdf188-ce04-4178-bda9-9745118ec897;2025-03-24T01:08:35.000Z;10:06;NO;RS;;SR;;;RS;;;TK;;RS;;ST;;;RS;;;NY;;E;;;;;red
10a64822-99b8-4a55-9a1e-a1c417b5667f;2025-03-24T01:08:44.000Z;10:08;Yes;RS;;SR;;;RS;;;TK;;RS;;ST;;;RS;;;NY;;E;;;;;green
